Time;[11:7];[31:48];[31:110];[31:112];[31:115];[32:1];[32:80];[32:85];[32:124];[33:108];[ChannelInfoFieldText([10:1], "$PDA_expression")]_text;[Bandl‰nge auf Abhaspel]
time;Banddicke;Ofenleistung;Wannentemperatur auﬂen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;ChannelInfoFieldText([10:1], "$PDA_expression");Bandl‰nge auf Abhaspel
sec;mm;kW;∞C;∞C;∞C;mm;mbar;mbar;m/min;∞C;;m
14;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;"(( Pi() / ([11:7] * 0.001)) * (Pow(0.5 * [3:10], 2) - Pow(0.5 * 0.48, 2))) / [32:124]";nan
15;0,2;2,5;280,396;276,154;276;330;0,578704;0,578704;0;276,426;;6158,35
16;0,2;1;280,418;276,165;276;330;0,578704;0,578704;0;276,459;;6158,35
17;0,2;9,5;280,512;276,175;276;330;0,578704;0,622106;0;276,462;;6158,35
18;0,2;25,5;280,592;276,139;276;330;0,578704;0,578704;0;276,444;;6158,35
19;0,2;34;280,65;276,067;276;330;0,578704;0,578704;0;276,433;;6158,35
20;0,2;38;280,584;276,06;276;330;0,578704;0,578704;0;276,422;;6158,35
21;0,2;48;280,476;276,056;276;330;0,578704;0,578704;0;276,415;;6158,35
22;0,2;55,5;280,389;276,049;276;330;0,557002;0,578704;0;276,403;;6158,35
23;0,2;27,5;280,447;276,042;276;330;0,549769;0,578704;0;276,382;;6158,35
24;0,2;0;280,519;276,034;276;330;0,578704;0,578704;0;276,363;;6158,35
25;0,2;0;280,599;276,027;276;330;0,528067;0,578704;0;276,34;;6158,35
26;0,2;7;280,65;276,02;276;330;0,434028;0,578704;0;276,299;;6158,35
27;0,2;33,5;280,584;276,034;276;330;0,434028;0,578704;0;276,285;;6158,35
28;0,2;39,5;280,44;276,172;276;330;0,434028;0,578704;0;276,294;;6158,35
29;0,2;0,5;280,433;276,291;276;330;0,434028;0,578704;0;276,318;;6158,35
30;0,2;5,5;280,519;276,284;276;330;0,470197;0,578704;0;276,323;;6158,35
31;0,2;0;280,563;276,172;276;330;0,434028;0,578704;0;276,308;;6158,35
32;0,2;2;280,65;276,157;276;330;0,434028;0,578704;0;276,284;;6158,35
33;0,2;1;280,512;276,273;276;330;0,57147;0,578704;0;276,271;;6158,35
34;0,2;0;280,404;276,273;276;330;0,578704;0,578704;0;276,26;;6158,35
35;0,2;1,5;280,411;276,309;276;330;0,578704;0,578704;0;276,249;;6158,35
36;0,2;17,5;280,462;276,32;276;330;0,578704;0,578704;0;276,259;;6158,35
37;0,2;11,5;280,556;276,298;276;330;0,578704;0,578704;0;276,287;;6158,35
38;0,2;1,5;280,621;276,302;276;330;0,578704;0,578704;0;276,316;;6158,35
39;0,2;18,5;280,65;276,107;276;330;0,564236;0,578704;0;276,316;;6158,35
40;0,2;39;280,57;275,911;276;330;0,549769;0,578704;0;276,299;;6158,35
41;0,2;69,5;280,433;275,908;276;330;0,578704;0,578704;0;276,296;;6158,35
42;0,2;97;280,389;276,074;276;330;0,578704;0,578704;0;276,29;;6158,35
43;0,2;106,5;280,433;276,223;276;330;0,578704;0,578704;0;276,281;;6158,35
44;0,2;47;280,556;276,136;276;330;0,578704;0,578704;0;276,283;;6158,35
45;0,2;0;280,621;275,984;276;330;0,535301;0,578704;0;276,27;;6158,35
46;0,2;1,5;280,599;275,984;276;330;0,578704;0,578704;0;276,237;;6158,35
47;0,2;15;280,483;276,034;276;330;0,578704;0,578704;0;276,208;;6158,35
48;0,2;30,5;280,621;276,027;276;330;0,578704;0,578704;0;276,202;;6158,35
49;0,2;17,5;280,859;276,042;276;330;0,578704;0,528067;0;276,224;;6158,35
50;0,2;0;280,939;276,44;276;330;0,578704;0,578704;0;276,253;;6158,35
51;0,2;6,5;280,961;276,255;276;330;0,578704;0,578704;0;276,267;;6158,35
52;0,2;9;281,055;276,063;276;330;0,578704;0,578704;0;276,284;;6158,35
53;0,2;0;281,055;276,067;276;330;0,578704;0,578704;0;276,279;;6158,35
54;0,2;0;280,982;276,06;276;330;0,578704;0,578704;0;276,271;;6158,35
55;0,2;1;280,896;276,053;276;330;0,578704;0,578704;0;276,29;;6158,35
56;0,2;6,5;280,751;276,053;276;330;0,578704;0,578704;0;276,292;;6158,35
57;0,2;14;280,751;276,045;276;330;0,578704;0,578704;0;276,276;;6158,35
58;0,2;9,5;281,019;276,139;276;330;0,578704;0,578704;0;276,257;;6158,35
59;0,2;0,5;281,358;276,226;276;330;0,578704;0,578704;0;276,238;;6158,35
60;0,2;7;280,91;276,15;276;330;0,578704;0,578704;0;276,221;;6158,35
61;0,2;8,5;281,192;276,143;276;330;0,578704;0,578704;0;276,223;;6158,35
62;0,2;0,5;281,207;276,132;276;330;0,578704;0,578704;0;276,234;;6158,35
63;0,2;0;281,373;276,168;276;330;0,578704;0,578704;0;276,236;;6158,35
64;0,2;0;281,286;276,165;276;330;0,578704;0,578704;0;276,226;;6158,35
65;0,2;0;281,199;276,168;276;330;0,578704;0,578704;0;276,22;;6158,35
66;0,2;0;281,207;276,161;276;330;0,578704;0,578704;0;276,212;;6158,35
67;0,2;3;280,462;276,175;276;330;0,578704;0,614873;0;276,219;;6158,35
68;0,2;16,5;280,527;276,194;276;330;0,578704;0,578704;0;276,21;;6158,35
69;0,2;29,5;280,606;275,937;276;330;0,578704;0,578704;0;276,199;;6158,35
70;0,2;0;280,65;276,053;276;330;0,528067;0,578704;0;276,211;;6158,35
71;0,2;2,5;280,584;276,19;276;330;0,578704;0,578704;0;276,225;;6158,35
72;0,2;4;280,454;276,179;276;330;0,578704;0,578704;0;276,231;;6158,35
73;0,2;2;280,382;276,175;276;330;0,578704;0,578704;0;276,229;;6158,35
74;0,2;12;280,447;276,172;276;330;0,578704;0,578704;0;276,227;;6158,35
75;0,2;27,5;280,541;276,19;276;330;0,470197;0,578704;0;276,206;;6158,35
76;0,2;15,5;280,628;276,183;276;330;0,434028;0,578704;0;276,205;;6158,35
77;0,2;0;280,621;276,172;276;330;0,434028;0,578704;0;276,197;;6158,35
78;0,2;0;280,483;276,161;276;330;0,484664;0,578704;0;276,188;;6158,35
79;0,2;0;280,389;276,136;276;330;0,542535;0,578704;0;276,181;;6158,35
80;0,2;2;280,44;276,121;276;330;0,578704;0,578704;0;276,172;;6158,35
81;0,2;2;280,295;276,118;276;330;0,578704;0,578704;0;276,171;;6158,35
82;0,2;4;280,36;276,092;276;330;0,578704;0,578704;0;276,183;;6158,35
83;0,2;21;280,389;276,013;276;330;0,578704;0,578704;0;276,183;;6158,35
84;0,2;41;280,367;275,94;276;330;0,578704;0,578704;0;276,159;;6158,35
85;0,2;77;280,02;275,933;276;330;0,578704;0,578704;0;276,147;;6158,35
86;0,2;109,5;279,76;275,926;276;330;0,484664;0,578704;0;276,136;;6158,35
87;0,2;122;279,803;275,919;276;330;0,578704;0,578704;0;276,128;;6158,35
88;0,2;120;280,071;276,002;276;330;0,578704;0,578704;0;276,123;;6158,35
89;0,2;109;280,085;276,19;276;330;0,578704;0,578704;0;276,116;;6158,35
90;0,2;75;280,266;276,288;276;330;0,578704;0,578704;0;276,104;;6158,35
91;0,2;65;280,657;276,32;276;330;0,578704;0,578704;0;276,104;;6158,35
92;0,2;52,5;280,599;276,345;276;330;0,578704;0,578704;0;276,098;;6158,35
93;0,2;38,5;280,686;276,331;276;330;0,578704;0,578704;0;276,101;;6158,35
94;0,2;38;280,838;276,317;276;330;0,578704;0,578704;0;276,101;;6158,35
95;0,2;39,5;280,83;276,313;276;330;0,535301;0,578704;0;276,094;;6158,35
96;0,2;44,5;281,199;276,331;276;330;0,578704;0,578704;0;276,093;;6158,35
97;0,2;22;281,568;276,327;276;330;0,578704;0,578704;0;276,084;;6158,35
98;0,2;0;281,641;276,013;276;330;0,578704;0,578704;0;276,068;;6158,35
99;0,2;3,5;282,125;275,911;276;330;0,578704;0,593171;0;276,044;;6158,35
100;0,2;10,5;282,075;276,183;276;330;0,520833;0,600405;0;276,026;;6158,35
101;0,2;23;282,067;276,074;276;330;0,520833;0,578704;0;276,007;;6158,35
102;0,2;28;282,038;276,071;276;330;0,578704;0,578704;0;276,018;;6158,35
103;0,2;25;282,089;276,056;276;330;0,578704;0,578704;0;276,027;;6158,35
104;0,2;0,5;282,567;276,121;276;330;0,578704;0,578704;0;276,045;;6158,35
105;0,2;0;282,646;276,168;276;330;0,578704;0,578704;0;276,061;;6158,35
106;0,2;0;282,697;276,183;276;330;0,578704;0,578704;0;276,067;;6158,35
107;0,2;0;282,624;276,215;276;330;0,578704;0,578704;0;276,068;;6158,35
108;0,2;0;282,516;276,136;276;330;0,578704;0,578704;0;276,071;;6158,35
109;0,2;0;282,436;276,186;276;330;0,578704;0,578704;0;276,074;;6158,35
110;0,2;0;282,473;276,201;276;330;0,578704;0,578704;0;276,077;;6158,35
111;0,2;0;282,559;276,194;276;330;0,578704;0,578704;0;276,08;;6158,35
112;0,2;0;282,646;276,186;276;330;0,578704;0,578704;0;276,081;;6158,35
113;0,2;0;282,69;276,183;276;330;0,578704;0,578704;0;276,081;;6158,35
114;0,2;0;282,632;276,219;276;330;0,578704;0,578704;0;276,083;;6158,35
115;0,2;0;282,465;276,241;276;330;0,578704;0,578704;0;276,085;;6158,35
116;0,2;0;282,031;276,15;276;330;0,578704;0,578704;0;276,086;;6158,35
117;0,2;0;281,626;276,147;276;330;0,578704;0,578704;0;276,088;;6158,35
118;0,2;0;281,944;276,233;276;330;0,578704;0,578704;0;276,089;;6158,35
119;0,2;0;282,01;276,244;276;330;0,578704;0,578704;0;276,09;;6158,35
120;0,2;0;281,814;276,226;276;330;0,578704;0,578704;0;276,089;;6158,35
121;0,2;0;282,378;276,266;276;330;0,578704;0,578704;0;276,09;;6158,35
122;0,2;0,5;282,321;276,071;276;330;0,578704;0,578704;0;276,097;;6158,35
123;0,2;2,5;282,263;275,919;276;330;0,578704;0,578704;0;276,094;;6158,35
124;0,2;1;281,829;275,911;276;330;0,578704;0,578704;0;276,081;;6158,35
125;0,2;10,5;281,402;275,908;276;330;0,578704;0,578704;0;276,074;;6158,35
126;0,2;32;281,503;275,922;276;330;0,578704;0,578704;0;276,07;;6158,35
127;0,2;54,5;281,597;275,937;276;330;0,578704;0,578704;0;276,072;;6158,35
128;0,2;61,5;281,684;275,933;276;330;0,578704;0,578704;0;276,072;;6158,35
129;0,2;67;281,619;275,926;276;330;0,578704;0,578704;0;276,073;;6158,35
130;0,2;74;281,474;275,922;276;330;0,578704;0,578704;0;276,074;;6158,35
131;0,2;76;281,402;275,911;276;330;0,578704;0,578704;0;276,077;;6158,35
132;0,2;70;281,46;275,908;276;330;0,578704;0,578704;0;276,079;;6158,35
133;0,2;67,5;281,554;275,911;276;330;0,578704;0,578704;0;276,076;;6158,35
134;0,2;72;281,626;275,933;276;330;0,578704;0,578704;0;276,074;;6158,35
135;0,2;71;281,662;275,94;276;330;0,578704;0,578704;0;276,071;;6158,35
136;0,2;67,5;281,576;275,933;276;330;0,578704;0,578704;0;276,072;;6158,35
137;0,2;72;281,655;275,926;276;330;0,578704;0,578704;0;276,07;;6158,35
138;0,2;71,5;281,821;275,919;276;330;0,578704;0,578704;0;276,072;;6158,35
139;0,2;63,5;281,836;275,911;276;330;0,578704;0,622106;0;276,071;;6158,35
140;0,2;54;281,865;275,908;276;330;0,528067;0,578704;0;276,067;;6158,35
141;0,2;52,5;282,653;275,93;276;330;0,578704;0,578704;0;276,064;;6158,35
142;0,2;52,5;282,697;275,94;276;330;0,578704;0,578704;0;276,059;;6158,35
143;0,2;42,5;282,632;275,933;276;330;0,578704;0,578704;0;276,059;;6158,35
144;0,2;38;282,639;275,926;276;330;0,578704;0,578704;0;276,055;;6158,35
145;0,2;36,5;282,69;275,919;276;330;0,578704;0,578704;0;276,053;;6158,35
146;0,2;28;282,711;275,911;276;330;0,578704;0,578704;0;276,046;;6158,35
147;0,2;23;282,784;275,908;276;330;0,535301;0,578704;0;276,037;;6158,35
148;0,2;24;283,652;275,926;276;330;0,578704;0,578704;0;276,03;;6158,35
149;0,2;23;283,724;275,94;276;330;0,578704;0,578704;0;276,026;;6158,35
150;0,2;10;283,652;275,937;276;330;0,578704;0,578704;0;276,023;;6158,35
151;0,2;0;283,507;275,93;276;330;0,578704;0,578704;0;276,009;;6158,35
152;0,2;0;283,442;275,922;276;330;0,578704;0,578704;0;275,996;;6158,35
153;0,2;0;283,529;275,915;276;330;0,578704;0,578704;0;275,985;;6158,35
154;0,2;0;283,659;275,911;276;330;0,535301;0,578704;0;275,975;;6158,35
155;0,2;0;283,731;275,908;276;330;0,535301;0,578704;0;275,966;;6158,35
156;0,2;0;283,63;275,94;276;330;0,578704;0,578704;0;275,958;;6158,35
157;0,2;0;283,464;275,933;276;330;0,528067;0,557002;0;275,952;;6158,35
158;0,2;0;283,478;275,926;276;330;0,578704;0,557002;0;275,948;;6158,35
159;0,2;0,5;283,608;275,922;276;330;0,578704;0,578704;0;275,942;;6158,35
160;0,2;2;283,709;275,915;276;330;0,578704;0,578704;0;275,937;;6158,35
161;0,2;2;283,688;275,908;276;330;0,578704;0,578704;0;275,933;;6158,35
162;0,2;2;283,637;275,915;276;330;0,578704;0,578704;0;275,929;;6158,35
163;0,2;2;283,608;275,926;276;330;0,578704;0,578704;0;275,925;;6158,35
164;0,2;2;283,297;275,94;276;330;0,578704;0,578704;0;275,922;;6158,35
165;0,2;2;283,087;275,937;276;330;0,578704;0,578704;0;275,908;;6158,35
166;0,2;5;283,131;275,926;276;330;0,578704;0,578704;0;275,893;;6158,35
167;0,2;8,5;283,145;275,922;276;330;0,578704;0,578704;0;275,883;;6158,35
168;0,2;13;283,196;275,915;276;330;0,578704;0,578704;0;275,875;;6158,35
169;0,2;14;283,254;275,911;276;330;0,578704;0,578704;0;275,877;;6158,35
170;0,2;15;282,697;275,911;276;330;0,578704;0,578704;0;275,873;;6158,35
171;0,2;16;282,567;275,937;276;330;0,578704;0,578704;0;275,872;;6158,35
172;0,2;19;282,465;275,937;276;330;0,578704;0,578704;0;275,875;;6158,35
173;0,2;24,5;282,436;275,926;276;330;0,578704;0,578704;0;275,873;;6158,35
174;0,2;27;282,523;275,922;276;330;0,578704;0,578704;0;275,87;;6158,35
175;0,2;29,5;282,595;275,915;276;330;0,578704;0,578704;0;275,868;;6158,35
176;0,2;30;282,661;275,911;276;330;0,578704;0,578704;0;275,863;;6158,35
177;0,2;30;282,357;275,908;276;330;0,578704;0,585938;0;275,856;;6158,35
178;0,2;30;281,988;275,915;276;330;0,578704;0,62934;0;275,85;;6158,35
179;0,2;35;282,06;275,94;276;330;0,578704;0,578704;0;275,848;;6158,35
180;0,2;39,5;281,973;275,937;276;330;0,578704;0,578704;0;275,847;;6158,35
181;0,2;45,5;281,966;275,926;276;330;0,578704;0,578704;0;275,844;;6158,35
182;0,2;45;282,306;275,919;276;330;0,578704;0,578704;0;275,843;;6158,35
183;0,2;44,5;282,364;275,911;276;330;0,578704;0,578704;0;275,839;;6158,35
184;0,2;43;282,4;275,908;276;330;0,578704;0,578704;0;275,835;;6158,35
185;0,2;43;282,465;275,93;276;330;0,578704;0,578704;0;275,831;;6158,35
186;0,2;43;282,429;275,94;276;330;0,578704;0,578704;0;275,827;;6158,35
187;0,2;51,5;282,451;275,933;276;330;0,578704;0,578704;0;275,826;;6158,35
188;0,2;50;282,451;275,922;276;330;0,578704;0,578704;0;275,829;;6158,35
189;0,2;38,5;282,458;275,915;276;330;0,578704;0,578704;0;275,832;;6158,35
190;0,2;29,5;282,559;275,908;276;330;0,578704;0,578704;0;275,835;;6158,35
191;0,2;29,5;282,646;275,915;276;330;0,578704;0,578704;0;275,836;;6158,35
192;0,2;30;282,653;275,93;276;330;0,578704;0,578704;0;275,836;;6158,35
193;0,2;25,5;282,567;275,937;276;330;0,528067;0,578704;0;275,84;;6158,35
194;0,2;27;282,516;275,933;276;330;0,578704;0,578704;0;275,841;;6158,35
195;0,2;29;282,465;275,926;276;330;0,535301;0,578704;0;275,846;;6158,35
196;0,2;30;282,769;275,919;276;330;0,578704;0,578704;0;275,852;;6158,35
197;0,2;30;282,834;275,915;276;330;0,578704;0,578704;0;275,858;;6158,35
198;0,2;30;282,943;275,911;276;330;0,578704;0,578704;0;275,862;;6158,35
199;0,2;24;282,972;275,908;276;330;0,578704;0,578704;0;275,866;;6158,35
200;0,2;21;282,914;275,911;276;330;0,578704;0,578704;0;275,868;;6158,35
201;0,2;15,5;282,755;275,93;276;330;0,578704;0,578704;0;275,872;;6158,35
202;0,2;15;282,653;275,94;276;330;0,578704;0,578704;0;275,876;;6158,35
203;0,2;16;283,008;275,937;276;330;0,578704;0,578704;0;275,878;;6158,35
204;0,2;18;283,362;275,93;276;330;0,578704;0,578704;0;275,883;;6158,35
205;0,2;18;283,131;275,919;276;330;0,578704;0,578704;0;275,889;;6158,35
206;0,2;15;282,878;275,915;276;330;0,578704;0,578704;0;275,896;;6158,35
207;0,2;14;283,189;275,911;276;330;0,578704;0,578704;0;275,899;;6158,35
208;0,2;13;283,21;275,911;276;330;0,578704;0,578704;0;275,904;;6158,35
209;0,2;11;283,254;275,926;276;330;0,578704;0,578704;0;275,91;;6158,35
210;0,2;9;282,863;275,926;276;330;0,578704;0,578704;0;275,915;;6158,35
211;0,2;11;283,21;275,933;276;330;0,578704;0,614873;0;275,918;;6158,35
212;0,2;12,5;283,181;275,93;276;330;0,578704;0,585938;0;275,922;;6158,35
213;0,2;16,5;283,391;275,919;276;330;0,542535;0,578704;0;275,922;;6158,35
214;0,2;16,5;283,42;275,911;276;330;0,434028;0,578704;0;275,926;;6158,35
215;0,2;13,5;283,008;275,911;276;330;0,57147;0,578704;0;275,93;;6158,35
216;0,2;12;282,516;275,922;276;330;0,578704;0,578704;0;275,936;;6158,35
217;0,2;18;282,436;275,94;276;330;0,578704;0,578704;0;275,94;;6158,35
