time;Banddicke;Verzinnungsstation_ Kühlleistung;Bandbreite;Bandgeschwindigkeit;Düsendruck Bandoberseite;Düsendruck Bandunterseite;Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Reglerausgang Y-Out (WSP);Wirksame Soll-Temperatur (WSP)
sec;mm;kW;mm;m/min;mbar;mbar;°C;°C;°C;%;°C
12.06.2026 05:16:12.938787;0,43;5,94642;340;0;0,289352;0,434028;279,595;269,835;269,701;4,47955;270
12.06.2026 05:16:13.938787;0,43;5,97291;340;0;0,289352;0,434028;279,595;269,835;269,701;4,47955;270
12.06.2026 05:16:14.938787;0,43;6,02997;340;0;0,289352;0,434028;279,595;269,835;269,701;4,47955;270
12.06.2026 05:16:15.938787;0,43;5,95994;340;0;0,434028;0,434028;279,595;269,835;269,701;4,47955;270
12.06.2026 05:16:16.938787;0,43;6,00209;340;0;0,289352;0,434028;279,681;269,9;269,692;4,30141;270
12.06.2026 05:16:17.938787;0,43;5,98748;340;0;0,434028;0,434028;279,681;269,9;269,692;4,30141;270
12.06.2026 05:16:18.938787;0,43;6,01041;340;0;0,289352;0,434028;279,681;269,9;269,692;4,30141;270
12.06.2026 05:16:19.938787;0,43;5,9963;340;0;0,289352;0,434028;279,681;269,9;269,692;4,30141;270
12.06.2026 05:16:20.938787;0,43;5,97742;340;0;0,289352;0,434028;279,69;269,9;269,687;4,68132;270
12.06.2026 05:16:21.938787;0,43;6,01656;340;0;0,434028;0,434028;279,69;269,9;269,687;4,68132;270
12.06.2026 05:16:22.938787;0,43;6,05122;340;0;0,289352;0,434028;279,69;269,9;269,687;4,68132;270
12.06.2026 05:16:23.938787;0,43;6,00466;340;0;0,434028;0,434028;279,69;269,9;269,687;4,68132;270
12.06.2026 05:16:24.938787;0,43;6,00411;340;0;0,434028;0,434028;279,722;269,9;269,687;4,7333;270
12.06.2026 05:16:25.938787;0,43;6,03781;340;0;0,289352;0,434028;279,722;269,9;269,687;4,7333;270
12.06.2026 05:16:26.938787;0,43;6,06752;340;0;0,434028;0,434028;279,722;269,9;269,687;4,7333;270
12.06.2026 05:16:27.938787;0,43;6,00335;340;0;0,289352;0,434028;279,722;269,9;269,687;4,7333;270
12.06.2026 05:16:28.938787;0,43;6,01041;340;0;0,289352;0,434028;279,731;269,995;269,688;4,74017;270
12.06.2026 05:16:29.938787;0,43;6,01681;340;0;0,434028;0,434028;279,731;269,995;269,688;4,74017;270
12.06.2026 05:16:30.938787;0,43;5,98748;340;0;0,434028;0,434028;279,731;269,995;269,688;4,74017;270
12.06.2026 05:16:31.938787;0,43;5,99453;340;0;0,289352;0,434028;279,731;269,995;269,688;4,74017;270
12.06.2026 05:16:32.938787;0,43;5,9575;340;0;0,434028;0,434028;279,738;270,1;269,694;4,74111;270
12.06.2026 05:16:33.938787;0,43;6,02537;340;0;0,289352;0,434028;279,738;270,1;269,694;4,74111;270
12.06.2026 05:16:34.938787;0,43;6,01353;340;0;0,434028;0,434028;279,738;270,1;269,694;4,74111;270
12.06.2026 05:16:35.938787;0,43;6,0201;340;0;0,434028;0,434028;279,738;270,1;269,694;4,74111;270
12.06.2026 05:16:36.938787;0,43;6,07019;340;0;0,434028;0,434028;279,737;270,143;269,705;4,19002;270
12.06.2026 05:16:37.938787;0,43;6,02167;340;0;0,289352;0,434028;279,737;270,143;269,705;4,19002;270
