time;Banddicke;Verzinnungsstation: Durchflussmenge;Verzinnungsstation: Rücklauftemperatur;Verzinnungsstation: Kühlleistung;Verzinnungsstation FU: Durchflussmenge;Verzinnungsstation FU: Rücklauftemperatur;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Laufprogramm Online Zinnbad / Anlagenstartwert Rezept;Laufprogramm Online Zinnbad / Anlagenstartwert korrigiert;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;MON Verzinnungseinheit Verzinnungsstation Ofen 1 aktiv;MON Verzinnungseinheit Verzinnungsstation Ofen 2 aktiv;Legierung;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel;Hubtraverse unten;Bandtransport
36;0.4;51.9329;24.2;12.1488;40.191;23.8;127;311.314;273.343;267;360;272;272;310.475;310.185;60;267.717;1;0;;;2516.94;1;1
37;0.4;52.037;24.2;12.246;40.191;23.9;126;310.634;273.749;267;360;272;272;310.475;310.185;60;267.742;1;0;;;2514.73;1;1
38;0.4;51.7072;24.3;12.5374;39.9884;23.9;126;310.561;273.763;267;360;272;272;310.475;310.33;60;267.765;1;0;;;2514.73;1;1
39;0.4;51.4873;24.3;12.5201;39.7512;23.9;131;310.171;273.77;267;360;272;272;310.475;310.185;60;267.791;1;0;;;2514.73;1;1
40;0.4;51.5249;24.3;12.5472;39.7859;23.9;135;309.621;273.792;267;360;272;272;310.475;310.185;60;267.815;1;0;;;2512.35;1;1
41;0.4;51.4236;24.3;12.5765;39.8032;23.9;126;309.679;273.785;267;360;272;272;310.475;310.185;60;267.836;1;0;;;2509.78;1;1
42;0.4;51.5249;24.3;12.6553;39.9363;23.9;124;309.303;273.785;267;360;272;272;310.33;310.185;60;267.864;1;0;;;2508.49;1;1
43;0.4;51.6291;24.3;12.6809;39.8872;23.9;128;309.346;273.777;267;360;272;272;310.475;310.04;60;267.888;1;0;;;2507.85;1;1
44;0.4;51.6291;24.3;12.7169;39.8872;23.9;130;308.738;273.77;267;360;272;272;310.475;310.04;60;267.909;1;0;;;2507.85;1;1
45;0.4;51.8316;24.4;13.1368;40.0579;24;131;308.145;273.72;267;360;272;272;310.475;310.185;60;267.93;1;0;;;2507.85;1;1
46;0.4;51.7303;24.4;13.1292;40;24;137;308.044;273.712;267;360;272;272;310.475;310.33;60;267.948;1;0;;;2507.85;1;1
47;0.4;51.4236;24.4;13.0873;39.9884;24;139;307.668;273.698;267;360;272;272;310.619;310.33;60;267.965;1;0;"KHP7025     ";;2505.28;1;1
48;0.4;51.6291;24.4;13.1035;40.0897;24;140;307.321;273.662;267;360;272;272;310.475;310.185;60;267.98;1;0;;;2504.64;1;1
49;0.4;51.9329;24.4;13.2351;40.191;24;136;307.19;273.683;267;360;272;272;310.475;310.185;60;268;1;0;;;2502.07;1;1
50;0.4;51.6262;24.4;13.193;39.9884;24;133;307.263;273.872;267;360;272;272;310.475;310.04;60;268.017;1;0;;;2502.07;1;1
51;0.4;51.7303;24.4;13.2015;39.9884;24;140;306.496;273.872;267;360;272;272;310.475;310.185;60;268.038;1;0;;;2502.07;1;1
52;0.4;51.9329;24.4;13.2532;39.9884;24;145;306.51;273.864;267;360;272;272;310.475;310.185;60;268.068;1;0;;;2501.43;1;1
53;0.4;51.8316;24.5;13.6155;40.191;24;148;306.163;273.915;267;360;272;272;310.33;310.185;60;268.091;1;0;;;2500.78;1;1
54;0.4;52.0312;24.5;13.6861;39.9884;24;148;306.004;273.908;267;360;272;272;310.475;310.185;60;268.118;1;0;;;2500.14;1;1
55;0.4;51.9329;24.5;13.6784;39.6817;24;148;305.671;273.9;267;360;272;272;310.33;310.04;60;268.147;1;0;;;2498.86;1;1
56;0.4;51.7303;24.5;13.625;39.647;24;143;305.758;273.893;267;360;272;272;310.185;310.04;60;268.176;1;0;;;2498.86;1;1
57;0.4;51.4265;24.5;13.581;39.7859;24.1;142;305.165;273.879;267;360;272;272;310.04;309.896;60;268.2;1;0;;;2497.1;1;1
58;0.4;51.5249;24.5;13.5709;39.7859;24.1;143;305.252;273.872;267;360;272;272;309.751;309.751;60;268.23;1;0;;;2496.69;1;1
59;0.4;51.7303;24.5;13.6793;39.7859;24.1;142;304.861;273.872;267;360;272;272;309.751;309.607;60;268.264;1;0;;;2494.99;1;1
60;0.4;51.8258;24.5;13.7226;39.7859;24.1;143;304.789;273.908;267;360;272;272;309.607;309.462;60;268.291;1;0;;;2493.07;1;1
61;0.4;52.0341;24.5;13.8323;39.6962;24.1;142;304.789;273.908;267;360;272;272;309.462;309.317;60;268.313;1;0;;;2492.43;1;1
62;0.4;51.7303;24.6;14.0847;39.783;24.1;140;304.008;273.9;267;360;272;272;309.317;309.172;60;268.346;1;0;;;2492.43;1;1
63;0.4;51.7101;24.6;14.1695;39.8669;24.1;135;303.921;274.219;267;360;272;272;309.028;308.883;60;268.367;1;0;;;2492.43;1;1
64;0.4;51.6291;24.6;14.0932;39.6846;24.1;131;304.036;274.212;267;360;272;272;309.028;308.883;60;268.391;1;0;;;2489.87;1;1
65;0.4;51.7303;24.6;14.1751;39.7251;24.1;126;304.152;274.226;267;360;272;272;309.028;308.738;60;268.415;1;0;;;2487.3;1;1
66;0.4;52.1383;24.6;14.2322;39.8872;24.1;122;303.95;274.161;267;360;272;272;308.883;308.594;60;268.436;1;0;;;2485.73;1;1
67;0.4;52.2396;24.6;14.3511;39.9682;24.1;119;303.906;274.212;267;360;272;272;309.028;308.594;60;268.454;1;0;;;2485.73;1;1
68;0.4;51.9329;24.6;14.285;39.9884;24.1;118;303.747;274.197;267;360;272;272;308.883;308.594;60;268.473;1;0;;;2485.73;1;1
69;0.4;51.8287;24.6;14.3107;39.8872;24.1;110;302.995;274.19;267;360;272;272;308.883;308.738;60;268.495;1;0;;;2485.73;1;1
70;0.4;52.147;24.7;14.698;40.2922;24.1;112;302.922;274.139;267;360;272;272;309.028;308.738;60;268.514;1;0;;;2485.73;1;1
71;0.4;51.6869;24.7;14.6044;40.2922;24.1;113;303.009;274.183;267;360;272;272;309.172;308.883;60;268.528;1;0;;;2485.09;1;1
72;0.4;51.3223;24.7;14.5014;39.8987;24.1;109;302.734;274.06;267;360;272;272;309.028;308.883;60;268.548;1;0;;;2483.39;1;1
73;0.4;51.4236;24.7;14.53;39.8929;24.1;106;302.879;274.204;267;360;272;272;309.172;309.172;60;268.565;1;0;;;2482.75;1;1
74;0.4;51.8229;24.7;14.7334;39.9884;24.1;107;302.127;274.19;267;360;272;272;309.317;309.317;60;268.581;1;0;;;2480.83;1;1
75;0.4;52.0341;24.7;14.7934;39.9884;24.1;111;302.098;274.038;267;360;272;272;309.607;309.317;60;268.6;1;0;;;2480.19;1;1
76;0.4;52.1354;24.7;14.8222;40.3906;24.1;109;301.707;274.233;267;360;272;272;309.751;309.462;60;268.62;1;0;;;2479.55;1;1
77;0.4;52.2396;24.7;14.8883;40.2922;24.1;111;301.331;274.081;267;360;272;272;309.896;309.607;60;268.64;1;0;;;2476.9;1;1
78;0.4;51.985;24.8;15.205;40.191;24.1;113;301.403;274.067;267;360;272;272;309.896;309.751;60;268.656;1;0;;;2476.26;1;1
79;0.4;51.9329;24.8;15.208;40.2951;24.1;109;301.056;274.067;267;360;272;272;310.185;309.896;60;268.672;1;0;;;2474.12;1;1
80;0.4;51.603;24.8;15.0572;40.191;24.1;107;301.157;274.421;267;360;272;272;310.185;310.04;60;268.686;1;0;;;2470.29;1;1
81;0.4;51.8403;24.8;15.2171;40.191;24.1;108;300.825;274.407;267;360;272;272;310.33;310.185;60;268.698;1;0;;;2469.65;1;1
82;0.4;52.0399;24.8;15.2757;40.0897;24.1;108;300.448;274.407;267;360;272;272;310.475;310.185;60;268.71;1;0;;;2469.65;1;1
83;0.4;52.0341;24.8;15.2921;39.8987;24.1;118;299.957;274.392;267;360;272;272;310.619;310.475;60;268.726;1;0;;;2468.37;1;1
84;0.4;51.522;24.8;15.2136;39.9884;24.1;116;299.928;274.378;267;360;272;272;310.764;310.475;60;268.734;1;0;;;2468.37;1;1
85;0.4;51.8316;24.8;15.2507;40.0897;24.1;118;299.884;274.407;269;360;272;272;310.764;310.764;60;268.742;1;0;;;2466.2;1;1
86;0.4;51.7303;24.8;15.2932;39.9884;24.1;115;299.638;274.443;269;360;272;272;310.909;310.764;60;268.748;1;0;;;2465.56;1;1
87;0.4;51.7303;24.9;15.6445;39.7859;24.1;153;299.45;274.436;269;360;272;272;311.053;310.909;60;268.754;1;0;;;2465.56;1;1
88;0.4;51.6262;24.9;15.6129;39.9826;24.1;227;299.508;274.421;269;360;272;272;311.053;310.909;60;268.766;1;0;;;2465.56;1;1
89;0.4;51.713;24.9;15.7115;40.191;24.1;314;299.045;274.414;269;360;272;272;311.343;311.053;60;268.771;1;0;;;2465.56;1;1
90;0.4;51.5249;24.9;15.6363;39.8872;24.1;405;298.929;274.407;269;360;272;272;311.343;311.198;60;268.777;1;0;;;2464.28;1;1
91;0.4;51.6291;24.9;15.704;39.8872;24.1;493;298.828;274.407;269;360;272;272;311.487;311.198;60;268.786;1;0;;;2463.64;1;1
92;0.4;51.4236;24.9;15.6236;40.0492;24.1;576;299.161;274.421;269;360;272;272;311.487;311.343;60;268.797;1;0;;;2463.64;1;1
93;0.4;51.4236;24.9;15.7134;40.0897;24.1;662;299.248;274.4;269;360;272;272;311.487;311.343;60;268.809;1;0;;;2462.37;1;1
94;0.4;51.9329;24.9;15.8146;40.0897;24.1;692;300.058;274.443;269;360;272;272;311.777;311.632;60;268.818;1;0;;;2462.36;1;1
95;0.4;51.9358;24.9;15.8517;39.9884;24.1;697;300.42;274.436;269;360;272;272;311.777;311.777;60;268.828;1;0;;;2461.72;1;1
96;0.4;51.7274;24.9;15.8604;39.8872;24;682;301.418;274.421;269;360;272;272;311.921;311.632;60;268.842;1;0;;;2461.72;1;1
97;0.4;51.9329;25;16.2216;39.8872;24;657;303.545;274.4;269;360;272;272;311.921;311.777;60;268.854;1;0;;;2461.72;1;1
98;0.4;51.93;25;16.2933;39.7859;24;633;305.324;274.392;269;360;272;272;312.066;311.921;60;268.863;1;0;;;2461.08;1;1
99;0.4;51.548;25;16.1914;39.7859;24;590;307.031;274.385;269;360;272;272;312.066;312.066;60;268.871;1;0;;;2460.44;1;1
100;0.4;51.5278;25;16.2391;39.9884;24;538;308.637;274.421;269;360;272;272;312.211;312.211;60;268.873;1;0;;;2459.17;1;1
101;0.4;51.8316;25;16.353;40.0145;24;477;310.663;274.436;269;360;272;272;312.355;312.211;60;268.88;1;0;;;2459.17;1;1
102;0.4;52.3409;25;16.5319;39.8872;24;433;311.429;274.407;269;360;272;272;312.5;312.211;60;268.887;1;0;;;2457.9;1;1
103;0.4;52.5434;25.1;16.9343;39.9884;24.1;395;313.035;274.4;269;360;272;272;312.5;312.355;60;268.895;1;0;;;2457.26;1;1
104;0.4;52.2367;25.1;16.8537;39.8872;24.1;354;313.759;274.407;269;360;272;272;312.5;312.355;60;268.902;1;0;;;2457.26;1;1
105;0.4;51.9329;25.1;16.7375;39.7743;24.1;311;314.757;274.4;269;360;272;272;312.645;312.5;60;268.906;1;0;;;2455.98;1;1
106;0.4;51.9329;25.2;17.0538;39.6846;24.2;286;315.668;274.392;269;360;272;272;312.645;312.5;60;268.912;1;0;;;2453.71;1;1
107;0.4;51.9358;25.2;17.1636;39.5804;24.2;267;316.392;274.378;269;360;272;272;312.789;312.5;60;268.92;1;0;;;2451.8;1;1
108;0.4;51.7274;25.3;17.4821;39.6846;24.2;240;317.477;274.4;269;360;272;272;312.789;312.5;60;268.928;1;0;;;2447.34;1;1
109;0.4;51.8461;25.3;17.5041;39.974;24.3;212;318.099;274.429;269;360;272;272;312.645;312.5;60;268.942;1;0;;;2447.34;1;1
110;0.4;52.0949;25.4;17.9964;39.9884;24.3;192;318.475;274.407;269;360;272;272;312.645;312.5;60;268.951;1;0;;;2446.71;1;1
111;0.4;52.2396;25.4;18.0464;39.783;24.4;165;318.967;274.392;269;360;272;272;312.789;312.5;60;268.961;1;0;;;2446.07;1;1
112;0.4;51.8316;25.5;18.2936;39.8177;24.4;142;319.343;274.002;269;360;272;272;312.645;312.5;60;268.971;1;0;;;2446.07;1;1
113;0.4;52.1354;25.6;18.7183;40.0897;24.4;128;319.748;274.002;269;360;272;272;312.645;312.5;60;268.981;1;0;;;2444.16;1;1
114;0.4;51.8461;25.6;18.6326;39.9884;24.4;121;320.038;273.995;269;360;272;272;312.645;312.5;60;268.993;1;0;;;2440.99;1;1
115;0.4;51.7274;25.7;18.9411;40.0926;24.5;104;320.124;273.987;269;360;272;272;312.789;312.5;60;269.002;1;0;;;2439.72;1;1
116;0.4;51.7274;25.8;19.3285;39.9884;24.5;100;320.153;273.98;269;360;272;272;312.789;312.5;60;269.011;1;0;;;2439.67;1;1
117;0.4;51.5943;25.8;19.2787;39.9884;24.5;94;320.081;273.987;269;360;272;272;312.789;312.645;60;269.01;1;0;;;2439.03;1;1
118;0.4;51.6262;25.9;19.6772;39.8322;24.5;92;320.009;273.987;269;360;272;272;312.934;312.645;60;269.011;1;0;;;2437.76;1;1
119;0.4;51.4236;25.9;19.582;39.6817;24.5;87;319.444;273.987;269;360;272;272;312.789;312.645;60;269.004;1;0;;;2434.46;1;1
120;0.4;51.7303;26;20.0681;39.9884;24.4;91;319.387;273.995;269;360;272;272;312.789;312.645;60;268.998;1;0;;;2431.92;1;1
121;0.4;51.8316;26;20.1436;40.191;24.4;93;318.822;274.009;269;360;272;272;312.789;312.645;60;268.989;1;0;;;2431.29;1;1
