Time;[11:7];[31:40];[31:42];[31:47];[31:48];[32:1];[32:90];[32:124];[33:142];[33:146];[33:337];[33:338];[33:339];[33:340];[33:341];[33:342];[33:343];[33:344];[33:345];[33:346]
86;1,2;49,1782;0;0;227;343;500;30;311,777;312,211;305,278;280,872;277,72;268,608;33,8411;26,3102;7,53092;0;281,941;18
87;1,2;48,9294;0;0;227;343;500;30;311,777;312,066;305,278;280,872;277,72;268,608;33,8411;26,3102;7,53092;0;281,941;18
88;1,2;49,0828;0;0;230;343;500;30;311,921;312,066;307,545;279,647;277,098;268,28;35,4124;27,5438;7,86864;0;281,512;18
89;1,2;48,8773;0;0;231;343;500;30;311,921;312,211;307,545;279,647;277,098;268,28;35,4124;27,5438;7,86864;0;281,512;18
90;1,2;48,8252;0;0;231;343;500;30;311,777;312,066;307,545;279,647;277,098;268,28;35,4124;27,5438;7,86864;0;281,512;18
91;1,2;49,0885;0;0;236;343;500;30;311,777;312,211;307,545;279,647;277,098;268,28;35,4124;27,5438;7,86864;0;281,512;18
92;1,2;49,0278;0;0;238;343;500;30;311,777;311,921;309,613;279,17;276,52;269,533;36,757;28,5323;8,22469;0;281,079;18
93;1,2;49,1059;0;0;244;343;500;30;311,921;312,066;309,613;279,17;276,52;269,533;36,757;28,5323;8,22469;0;281,079;18
94;1,2;49,3866;0;0;244;343;500;30;311,777;312,066;309,613;279,17;276,52;269,533;36,757;28,5323;8,22469;0;281,079;18
95;1,2;49,184;0;0;244;343;500;30;311,632;311,921;309,613;279,17;276,52;269,533;36,757;28,5323;8,22469;0;281,079;18
96;1,2;49,3692;0;0;245;343;500;30;311,632;311,777;311,571;279,215;276,048;270,008;37,417;28,8349;8,58212;0;280,653;18
97;1,2;49,2853;0;0;245;343;500;30;311,487;311,777;311,571;279,215;276,048;270,008;37,417;28,8349;8,58212;0;280,653;18
98;1,2;49,375;0;0;251;343;500;30;311,487;311,777;311,571;279,215;276,048;270,008;37,417;28,8349;8,58212;0;280,653;18
99;1,2;48,9815;0;0;253;343;500;30;311,343;311,632;311,571;279,215;276,048;270,008;37,417;28,8349;8,58212;0;280,653;18
100;1,2;49,0393;0;0;253;343;500;30;311,343;311,632;313,306;279,348;275,573;270,575;38,1015;29,1612;8,94039;0;280,231;18
101;1,2;49,184;0;0;253;343;500;30;311,343;311,632;313,306;279,348;275,573;270,575;38,1015;29,1612;8,94039;0;280,231;18
102;1,2;49,3808;0;0;257;343;500;30;311,343;311,487;313,306;279,348;275,573;270,575;38,1015;29,1612;8,94039;0;280,231;18
103;1,2;49,592;0;0;259;343;500;30;311,198;311,632;313,306;279,348;275,573;270,575;38,1015;29,1612;8,94039;0;280,231;18
104;1,2;49,592;0;0;259;343;500;30;311,198;311,632;314,92;278,64;275,166;269,693;38,3223;29,0202;9,30215;0;279,806;18
105;1,2;49,3866;0;0;258;343;500;30;311,198;311,487;314,92;278,64;275,166;269,693;38,3223;29,0202;9,30215;0;279,806;18
106;1,2;49,184;0;0;259;343;500;30;311,198;311,343;314,92;278,64;275,166;269,693;38,3223;29,0202;9,30215;0;279,806;18
107;1,2;49,0828;0;0;260;343;500;30;311,053;311,343;314,92;278,64;275,166;269,693;38,3223;29,0202;9,30215;0;279,806;18
108;1,2;48,8976;0;0;259;343;500;30;311,053;311,343;316,309;278,435;274,759;269,17;38,5339;28,8684;9,66554;0;279,377;18
109;1,2;49,0828;0;0;259;343;500;30;310,909;311,343;316,309;278,435;274,759;269,17;38,5339;28,8684;9,66554;0;279,377;18
110;1,2;49,3953;0;0;260;343;500;30;310,909;311,198;316,309;278,435;274,759;269,17;38,5339;28,8684;9,66554;0;279,377;18
111;1,2;49,184;0;0;259;343;500;30;310,909;311,053;316,309;278,435;274,759;269,17;38,5339;28,8684;9,66554;0;279,377;18
112;1,2;48,8773;0,102052;0;260;343;500;30;310,764;311,053;317,747;277,26;274,325;268,915;38,9321;28,9064;10,026;0;278,95;18
113;1,2;48,9815;0,170738;0;259;343;500;30;310,764;310,909;317,747;277,26;274,325;268,915;38,9321;28,9064;10,026;0;278,95;18
114;1,2;49,184;0,240171;0;259;343;500;30;310,619;310,909;317,747;277,26;274,325;268,915;38,9321;28,9064;10,026;0;278,95;18
115;1,2;49,184;0,257353;0;259;343;500;30;310,619;310,909;317,747;277,26;274,325;268,915;38,9321;28,9064;10,026;0;278,95;18
116;1,2;49,0828;0,308287;0;259;343;500;30;310,764;310,909;319,055;277,083;273,894;269,29;39,3136;28,9226;10,391;0;278,518;18
117;1,2;48,7616;0,357372;0;259;343;500;30;310,764;310,909;319,055;277,083;273,894;269,29;39,3136;28,9226;10,391;0;278,518;18
118;1,2;48,9786;0,341852;0;264;343;500;30;310,619;310,764;319,055;277,083;273,894;269,29;39,3136;28,9226;10,391;0;278,518;18
119;1,2;48,9815;0,74287;0;266;343;500;30;310,619;310,909;319,055;277,083;273,894;269,29;39,3136;28,9226;10,391;0;278,518;18
120;1,2;49,0828;0,727259;0;266;343;500;30;310,619;310,909;320,13;276,525;273,495;268,488;39,4938;28,74;10,7538;0;278,089;18
121;1,2;49,0828;0,727259;0;267;343;500;30;310,475;310,909;320,13;276,525;273,495;268,488;39,4938;28,74;10,7538;0;278,089;18
122;1,2;48,8773;0,724216;0;267;343;500;30;310,619;310,764;320,13;276,525;273,495;268,488;39,4938;28,74;10,7538;0;278,089;18
123;1,2;49,0857;0,710155;0;268;343;500;30;310,475;310,764;320,13;276,525;273,495;268,488;39,4938;28,74;10,7538;0;278,089;18
124;1,2;49,1811;0,677175;0;267;343;500;30;310,33;310,764;320,82;276,055;273,246;269,3;38,7175;27,6104;11,1071;0;277,661;18
125;1,2;48,776;0,968677;0;265;343;500;30;310,33;310,764;320,82;276,055;273,246;269,3;38,7175;27,6104;11,1071;0;277,661;18
126;1,2;49,0828;0,854718;0;264;343;500;30;310,475;310,619;320,82;276,055;273,246;269,3;38,7175;27,6104;11,1071;0;277,661;18
127;1,2;49,3287;0,755583;0;263;343;500;30;310,33;310,475;320,82;276,055;273,246;269,3;38,7175;27,6104;11,1071;0;277,661;18
128;1,2;49,4907;0,637042;0;263;343;500;30;310,185;310,475;321,305;275,948;272,98;268,383;38,0414;26,5989;11,4426;0;277,237;18
129;1,2;49,184;0,461251;0;262;343;500;30;310,185;310,475;321,305;275,948;272,98;268,383;38,0414;26,5989;11,4426;0;277,237;18
130;1,2;49,2853;0,272763;0;258;343;500;30;310,185;310,475;321,305;275,948;272,98;268,383;38,0414;26,5989;11,4426;0;277,237;18
131;1,2;49,6383;0,0839467;0;257;343;500;30;310,04;310,33;321,305;275,948;272,98;268,383;38,0414;26,5989;11,4426;0;277,237;18
132;1,2;49,4878;0,229491;0;257;343;500;30;309,896;310,185;321,938;276,048;272,645;268,975;37,7805;26,012;11,7685;0;276,813;18
133;1,2;49,2853;0,00470386;0;256;343;500;30;310,04;310,185;321,938;276,048;272,645;268,975;37,7805;26,012;11,7685;0;276,813;18
134;1,2;49,3866;0;0;257;343;500;30;309,896;310,185;321,938;276,048;272,645;268,975;37,7805;26,012;11,7685;0;276,813;18
135;1,2;49,3866;0;0;256;343;500;30;309,896;310,185;321,938;276,048;272,645;268,975;37,7805;26,012;11,7685;0;276,813;18
136;1,2;49,184;0;0;256;343;500;30;309,751;310,04;322,47;275,913;272,319;268,76;37,4367;25,3463;12,0903;0;276,385;18
137;1,2;49,0828;0;0;254;343;500;30;309,751;310,04;322,47;275,913;272,319;268,76;37,4367;25,3463;12,0903;0;276,385;18
138;1,2;48,7876;0;0;256;343;500;30;309,751;310,04;322,47;275,913;272,319;268,76;37,4367;25,3463;12,0903;0;276,385;18
139;1,2;48,9786;0;0;256;343;500;30;309,751;310,04;322,47;275,913;272,319;268,76;37,4367;25,3463;12,0903;0;276,385;18
140;1,2;49,1811;0;0;250;343;500;30;309,751;310,04;322,535;275,798;271,983;266,96;37,1502;24,7441;12,4061;0;275,953;18
141;1,2;49,4994;0;0;248;343;500;30;309,751;310,185;322,535;275,798;271,983;266,96;37,1502;24,7441;12,4061;0;275,953;18
142;1,2;49,5052;0;0;248;343;500;30;309,751;310,185;322,535;275,798;271,983;266,96;37,1502;24,7441;12,4061;0;275,953;18
143;1,2;49,456;0;0;247;343;500;30;309,607;310,04;322,535;275,798;271,983;266,96;37,1502;24,7441;12,4061;0;275,953;18
144;1,2;49,184;0;0;247;343;500;30;309,607;309,896;322,659;275,235;271,608;266,49;37,121;24,4046;12,7164;0;275,521;18
145;1,2;49,0885;0;0;248;343;500;30;309,607;309,896;322,659;275,235;271,608;266,49;37,121;24,4046;12,7164;0;275,521;18
146;1,2;49,0828;0;0;249;343;500;30;309,462;309,751;322,659;275,235;271,608;266,49;37,121;24,4046;12,7164;0;275,521;18
147;1,2;49,0828;0;0;248;343;500;30;309,462;309,751;322,659;275,235;271,608;266,49;37,121;24,4046;12,7164;0;275,521;18
148;1,2;48,9844;0;0;248;343;500;30;309,462;309,751;322,766;274,962;271,123;266,478;37,7978;24,7749;13,0229;0;275,094;18
149;1,2;49,1522;0;0;250;343;500;30;309,462;309,751;322,766;274,962;271,123;266,478;37,7978;24,7749;13,0229;0;275,094;18
150;1,2;49,3895;0;0;251;343;500;30;309,317;309,751;322,766;274,962;271,123;266,478;37,7978;24,7749;13,0229;0;275,094;18
151;1,2;49,592;0;0;252;343;500;30;309,317;309,751;322,766;274,962;271,123;266,478;37,7978;24,7749;13,0229;0;275,094;18
152;1,2;49,7946;0;0;255;343;500;30;309,317;309,607;322,749;274,043;270,738;268,052;37,8464;24,5155;13,331;0;274,669;18
153;1,2;49,592;0;0;256;343;500;30;309,172;309,751;322,749;274,043;270,738;268,052;37,8464;24,5155;13,331;0;274,669;18
154;1,2;49,5775;0;0;256;343;500;30;309,172;309,462;322,749;274,043;270,738;268,052;37,8464;24,5155;13,331;0;274,669;18
155;1,2;49,8148;0;0;256;343;500;30;309,317;309,607;322,749;274,043;270,738;268,052;37,8464;24,5155;13,331;0;274,669;18
156;1,2;49,7801;0;0;256;343;500;30;309,317;309,751;323,04;273,995;270,523;267,835;36,8041;23,1764;13,6277;0;274,244;18
157;1,2;49,2477;0;0;251;343;500;30;309,607;309,896;323,04;273,995;270,523;267,835;36,8041;23,1764;13,6277;0;274,244;18
158;1,2;49,3895;0;0;249;343;500;30;309,751;310,04;323,04;273,995;270,523;267,835;36,8041;23,1764;13,6277;0;274,244;18
159;1,2;49,4416;0;0;248;343;500;30;309,751;310,04;323,04;273,995;270,523;267,835;36,8041;23,1764;13,6277;0;274,244;18
160;1,2;49,3895;0;0;248;343;500;30;309,896;310,04;323,359;273,55;270,342;267,897;35,5094;21,603;13,9065;0;273,818;18
161;1,2;49,0943;0;0;244;343;500;30;309,751;310,185;323,359;273,55;270,342;267,897;35,5094;21,603;13,9065;0;273,818;18
162;1,2;49,184;0;0;244;343;500;30;309,896;310,04;323,359;273,55;270,342;267,897;35,5094;21,603;13,9065;0;273,818;18
163;1,2;49,2824;0;0;238;343;500;30;309,896;310,185;323,359;273,55;270,342;267,897;35,5094;21,603;13,9065;0;273,818;18
164;1,2;49,485;0;0;236;343;500;30;309,896;310,04;323,53;274,108;270,167;267,52;34,1656;20,0012;14,1644;0;273,394;18
165;1,2;49,3808;0;0;236;343;500;30;309,751;310,04;323,53;274,108;270,167;267,52;34,1656;20,0012;14,1644;0;273,394;18
166;1,2;49,3866;0;0;234;343;500;30;309,751;310,04;323,53;274,108;270,167;267,52;34,1656;20,0012;14,1644;0;273,394;18
167;1,2;49,4878;0;0;230;343;500;30,784;309,751;310,04;323,53;274,108;270,167;267,52;34,1656;20,0012;14,1644;0;273,394;18
168;1,2;49,2969;0;0;243;343;500;36,4;309,751;310,04;323,595;274,35;269,939;267,015;79,5218;64,8523;14,6696;0;279,669;23
169;1,2;49,1435;0;0;302;343;500;43,008;309,751;309,896;323,595;274,35;269,939;267,015;79,5218;64,8523;14,6696;0;279,669;23
170;1,2;48,8802;0;0;386;343;500;45;309,751;310,04;323,595;274,35;269,939;267,015;79,5218;64,8523;14,6696;0;279,669;23
171;1,2;49,2882;0;0;476;343;500;45;309,751;309,896;323,595;274,35;269,939;267,015;79,5218;64,8523;14,6696;0;279,669;23
172;1,2;49,5457;0;0;555;343;500;45;309,607;309,896;324,142;275,505;269,688;266,825;83,9529;68,4596;15,4933;0;279,572;27
173;1,2;50;0;0;577;343;500;45;309,607;309,751;324,142;275,505;269,688;266,825;83,9529;68,4596;15,4933;0;279,572;27
174;1,2;49,2564;0;0;580;343;500;45;309,462;309,751;324,142;275,505;269,688;266,825;83,9529;68,4596;15,4933;0;279,572;27
175;1,2;48,9815;0;0;580;343;500;45;309,317;309,607;324,142;275,505;269,688;266,825;83,9529;68,4596;15,4933;0;279,572;27
176;1,2;49,184;0;0;581;343;500;45;309,317;309,607;327,062;273,815;269,44;266,263;84,6557;68,3249;16,3313;0;279,304;27
177;1,2;49,0828;0;0;587;343;500;45;309,317;309,462;327,062;273,815;269,44;266,263;84,6557;68,3249;16,3313;0;279,304;27
178;1,2;49,3432;0;0;590;343;500;45;309,172;309,462;327,062;273,815;269,44;266,263;84,6557;68,3249;16,3313;0;279,304;27
179;1,2;49,2853;0;0;589;343;500;45;309,172;309,462;327,062;273,815;269,44;266,263;84,6557;68,3249;16,3313;0;279,304;27
180;1,2;49,0393;0;0;589;343;500;45;309,028;309,172;331,223;273,495;269,186;265,758;85,4116;68,2436;17,1679;0;279,035;27
181;1,2;48,8802;0;0;594;343;500;45;309,028;309,172;331,223;273,495;269,186;265,758;85,4116;68,2436;17,1679;0;279,035;27
182;1,2;49,3895;0;0;595;343;500;45;309,028;309,172;331,223;273,495;269,186;265,758;85,4116;68,2436;17,1679;0;279,035;27
183;1,2;49,2853;0;0;595;343;500;45;308,883;309,172;331,223;273,495;269,186;265,758;85,4116;68,2436;17,1679;0;279,035;27
184;1,2;49,4878;0;0;595;343;500;45;308,738;309,028;335,419;274,275;268,943;265,633;86,0782;68,0847;17,9936;0;278,77;27
185;1,2;49,592;0;0;595;343;500;45;308,883;309,028;335,419;274,275;268,943;265,633;86,0782;68,0847;17,9936;0;278,77;27
186;1,2;49,4907;0;0;595;343;500;45;308,883;309,028;335,419;274,275;268,943;265,633;86,0782;68,0847;17,9936;0;278,77;27
187;1,2;49,184;0;0;595;343;500;45;308,883;309,028;335,419;274,275;268,943;265,633;86,0782;68,0847;17,9936;0;278,77;27
188;1,2;49,3982;0;0;601;343;500;45;308,883;309,028;339,18;274,245;268,681;266,083;86,8892;68,0822;18,807;0;278,508;27
