Time;[11:7];[31:40];[31:42];[31:47];[31:48];[32:1];[32:90];[32:124];[33:142];[33:146];[33:337];[33:338];[33:339];[33:340];[33:341];[33:342];[33:343];[33:344];[33:345];[33:346]
time;Banddicke;Verzinnungsstation_ Durchflussmenge;Verzinnungsstation_ Kühlleistung;Verzinnungsstation FU_ Kühlleistung;Ofenleistung;Bandbreite;Düsendruck;Bandgeschwindigkeit;Düsendruck Bandoberseite;Düsendruck Bandunterseite;Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Temperatur unter der Zinnbadrolle 2 (WSP);Reglerausgang Y-Out (WSP);P-Anteil von Y-Out (WSP);I-Anteil von Y-Out (WSP);D-Anteil von Y-Out (WSP);Wirksame Soll-Temperatur (WSP);Index Massenstrom (WSP) (Faktor 10)
sec;mm;l/min;kW;kW;kW;mm;mbar;m/min;mbar;mbar;°C;°C;°C;°C;%;%;%;%;°C;kg/s
0;1,2;49,2853;0;0;23;343;500;0;325,376;325,665;287,101;280,573;280,162;280,3;2,82663;-2,36252;5,38014;-0,190984;280;0
1;1,2;49,32;0;0;22;343;500;0;324,219;324,363;287,101;280,573;280,162;280,3;2,82663;-2,36252;5,38014;-0,190984;280;0
2;1,2;48,9815;0;0;16;343;500;0;322,049;322,772;287,101;280,573;280,162;280,3;2,82663;-2,36252;5,38014;-0,190984;280;0
3;1,2;49,0828;0;0;16;343;500;0;318,432;317,998;287,101;280,573;280,162;280,3;2,82663;-2,36252;5,38014;-0,190984;280;0
4;1,2;49,0828;0;0;16;343;500;0;314,525;314,236;287,281;280,658;280,198;280,253;2,00133;-2,78755;5,34458;-0,555696;280;0
5;1,2;49,1551;0;0;14;343;500;0;311,053;310,764;287,281;280,658;280,198;280,253;2,00133;-2,78755;5,34458;-0,555696;280;0
6;1,2;49,0799;0;0;12;343;500;0;307,581;308,16;287,281;280,658;280,198;280,253;2,00133;-2,78755;5,34458;-0,555696;280;0
7;1,2;49,0828;0;0;10;343;500;0;305,845;306,424;287,281;280,658;280,198;280,253;2,00133;-2,78755;5,34458;-0,555696;280;0
8;1,2;48,9757;0;0;8;343;500;0;305,122;305,266;287,328;280,715;280,223;280,52;1,7056;-3,06256;5,30293;-0,534773;280;0
9;1,2;49,0828;0;0;7;343;500;0;304,832;304,977;287,328;280,715;280,223;280,52;1,7056;-3,06256;5,30293;-0,534773;280;0
10;1,2;49,3866;0;0;7;343;500;0;305,266;305,411;287,328;280,715;280,223;280,52;1,7056;-3,06256;5,30293;-0,534773;280;0
11;1,2;49,0857;0;0;7;343;500;0;305,7;306,134;287,328;280,715;280,223;280,52;1,7056;-3,06256;5,30293;-0,534773;280;0
12;1,2;49,077;0;0;0;343;500;0;306,568;307,002;287,262;280,745;280,226;280,27;1,70264;-3,22507;5,25697;-0,329261;280;0
13;1,2;49,0828;0;0;0;343;500;0;307,292;307,87;287,262;280,745;280,226;280,27;1,70264;-3,22507;5,25697;-0,329261;280;0
14;1,2;49,0828;0;0;0;343;500;0;308,738;308,883;287,262;280,745;280,226;280,27;1,70264;-3,22507;5,25697;-0,329261;280;0
15;1,2;48,9468;0;0;0;343;500;0;309,751;309,751;287,262;280,745;280,226;280,27;1,70264;-3,22507;5,25697;-0,329261;280;0
16;1,2;48,776;0;0;0;343;500;0;310,619;311,053;287,09;280,7;280,239;280,402;2,26162;-3,00006;5,21427;0,0474119;280;0
17;1,2;48,9902;0;0;0;343;500;0;311,487;311,921;287,09;280,7;280,239;280,402;2,26162;-3,00006;5,21427;0,0474119;280;0
18;1,2;48,9815;0;0;0;343;500;0;312,5;312,789;287,09;280,7;280,239;280,402;2,26162;-3,00006;5,21427;0,0474119;280;0
19;1,2;49,0828;0;0;2;343;500;0;313,223;313,368;287,09;280,7;280,239;280,402;2,26162;-3,00006;5,21427;0,0474119;280;0
20;1,2;48,7789;0;0;2;343;500;0;313,947;314,091;286,844;280,7;280,279;280,6;2,19469;-3,00006;5,17311;0,0216422;280;0
21;1,2;48,6777;0;0;2;343;500;0;314,525;314,96;286,844;280,7;280,279;280,6;2,19469;-3,00006;5,17311;0,0216422;280;0
22;1,2;48,9815;0;0;2;343;500;0;315,249;315,683;286,844;280,7;280,279;280,6;2,19469;-3,00006;5,17311;0,0216422;280;0
23;1,2;49,184;0;0;2;343;500;0;315,972;316,262;286,844;280,7;280,279;280,6;2,19469;-3,00006;5,17311;0,0216422;280;0
24;1,2;49,2853;0;0;2;343;500;0;316,696;316,696;286,646;280,733;280,309;280,49;1,78322;-3,15007;5,13067;-0,197382;280;0
25;1,2;49,1667;0;0;2;343;500;0;317,274;317,419;286,646;280,733;280,309;280,49;1,78322;-3,15007;5,13067;-0,197382;280;0
26;1,2;49,0278;0;0;2;343;500;0;317,708;318,142;286,646;280,733;280,309;280,49;1,78322;-3,15007;5,13067;-0,197382;280;0
27;1,2;48,9815;0;0;0;343;500;0;318,142;318,432;286,646;280,733;280,309;280,49;1,78322;-3,15007;5,13067;-0,197382;280;0
28;1,2;48,9815;0;0;0;343;500;0;318,432;318,866;286,487;280,805;280,328;280,4;1,09089;-3,52509;5,08302;-0,467474;280;0
29;1,2;48,9815;0;0;0;343;500;0;318,721;319,155;286,487;280,805;280,328;280,4;1,09089;-3,52509;5,08302;-0,467474;280;0
30;1,2;49,0828;0;0;0;343;500;0;319,01;319,444;286,487;280,805;280,328;280,4;1,09089;-3,52509;5,08302;-0,467474;280;0
31;1,2;49,1956;0;0;0;343;500;0;319,155;319,444;286,487;280,805;280,328;280,4;1,09089;-3,52509;5,08302;-0,467474;280;0
32;1,2;49,2853;0;0;0;343;500;0;319,3;319,734;286,306;280,9;280,344;280,4;0,303754;-3,99997;5,03184;-0,728119;280;0
33;1,2;49,3866;0;0;0;343;500;0;319,3;319,589;286,306;280,9;280,344;280,4;0,303754;-3,99997;5,03184;-0,728119;280;0
34;1,2;49,3924;0;0;0;343;500;0;319,3;319,589;286,306;280,9;280,344;280,4;0,303754;-3,99997;5,03184;-0,728119;280;0
35;1,2;49,2564;0;0;0;343;500;0;319,01;319,589;286,306;280,9;280,344;280,4;0,303754;-3,99997;5,03184;-0,728119;280;0
36;1,2;49,1204;0;0;0;343;500;0;319,01;319,3;286,158;280,9;280,35;280,383;0,647363;-3,99997;4,97615;-0,328822;280;0
37;1,2;49,184;0;0;0;343;500;0;318,866;319,155;286,158;280,9;280,35;280,383;0,647363;-3,99997;4,97615;-0,328822;280;0
38;1,2;49,2361;0;0;0;343;500;0;318,721;319,01;286,158;280,9;280,35;280,383;0,647363;-3,99997;4,97615;-0,328822;280;0
39;1,2;49,0799;0;0;0;343;500;0;318,432;318,866;286,158;280,9;280,35;280,383;0,647363;-3,99997;4,97615;-0,328822;280;0
40;1,2;48,9786;0;0;0;343;500;0;318,432;318,721;286,012;280,828;280,337;280,258;1,55174;-3,65005;4,92191;0,279877;280;0
41;1,2;49,184;0;0;0;343;500;0;318,142;318,432;286,012;280,828;280,337;280,258;1,55174;-3,65005;4,92191;0,279877;280;0
42;1,2;49,3895;0;0;0;343;500;0;317,998;318,432;286,012;280,828;280,337;280,258;1,55174;-3,65005;4,92191;0,279877;280;0
43;1,2;49,3866;0;0;0;343;500;0;317,853;318,142;286,012;280,828;280,337;280,258;1,55174;-3,65005;4,92191;0,279877;280;0
44;1,2;49,184;0;0;0;343;500;0;317,708;317,998;285,841;280,8;280,324;280,2;1,61969;-3,50009;4,87254;0,247242;280;0
45;1,2;49,0828;0;0;0;343;500;0;317,564;317,853;285,841;280,8;280,324;280,2;1,61969;-3,50009;4,87254;0,247242;280;0
46;1,2;48,7789;0;0;2;343;500;0;317,274;317,564;285,841;280,8;280,324;280,2;1,61969;-3,50009;4,87254;0,247242;280;0
47;1,2;48,5446;0;0;2;343;500;0;317,13;317,419;285,841;280,8;280,324;280,2;1,61969;-3,50009;4,87254;0,247242;280;0
48;1,2;48,6921;0;0;2;343;500;0,4;316,84;317,13;285,685;280,738;280,309;280,105;0,444975;-21,1187;4,83057;-7,03387;276,078;3
49;1,2;48,6748;0;0;2;343;500;4,84416;316,551;316,985;285,685;280,738;280,309;280,105;0,444975;-21,1187;4,83057;-7,03387;276,078;3
50;1,2;48,8802;0;0;0;343;500;12,305;316,406;316,696;285,685;280,738;280,309;280,105;0,444975;-21,1187;4,83057;-7,03387;276,078;3
51;1,2;48,7905;0;0;0;343;500;19,1065;315,972;316,406;285,685;280,738;280,309;280,105;0,444975;-21,1187;4,83057;-7,03387;276,078;3
52;1,2;48,776;0;0;0;343;500;25,4691;315,828;315,972;285,503;280,7;280,281;279,872;22,6227;17,4739;4,89704;0;283,031;17
53;1,2;49,2853;0;0;0;343;500;31,4484;315,393;315,683;285,503;280,7;280,281;279,872;22,6227;17,4739;4,89704;0;283,031;17
54;1,2;49,0828;0;0;8;343;500;35;315,104;315,538;285,503;280,7;280,281;279,872;22,6227;17,4739;4,89704;0;283,031;17
55;1,2;49,0828;0;0;43;343;500;34,0266;314,96;315,249;285,503;280,7;280,281;279,872;22,6227;17,4739;4,89704;0;283,031;17
56;1,2;49,0567;0;0;148;343;500;31;314,815;315,104;285,438;280,683;280,229;279,48;35,0828;29,8429;5,23995;0;284,929;19
57;1,2;49,2622;0;0;218;343;500;31;314,67;314,815;285,438;280,683;280,229;279,48;35,0828;29,8429;5,23995;0;284,929;19
58;1,2;49,1927;0;0;231;343;500;30,3064;314,236;314,525;285,438;280,683;280,229;279,48;35,0828;29,8429;5,23995;0;284,929;19
59;1,2;48,8455;0;0;231;343;500;30;313,947;314,236;285,438;280,683;280,229;279,48;35,0828;29,8429;5,23995;0;284,929;19
60;1,2;48,6748;0;0;230;343;500;30;313,657;313,947;287,016;280,565;280,122;277,878;32,9903;27,4009;5,58942;0;284,506;18
61;1,2;48,776;0;0;230;343;500;30;313,513;313,657;287,016;280,565;280,122;277,878;32,9903;27,4009;5,58942;0;284,506;18
62;1,2;48,776;0;0;223;343;500;30;313,223;313,513;287,016;280,565;280,122;277,878;32,9903;27,4009;5,58942;0;284,506;18
63;1,2;48,776;0;0;223;343;500;30;312,934;313,368;287,016;280,565;280,122;277,878;32,9903;27,4009;5,58942;0;284,506;18
64;1,2;49,184;0;0;223;343;500;30;312,789;313,079;290,392;280,43;279,856;275,212;32,2768;26,3527;5,9241;0;284,079;18
65;1,2;49,1088;0;0;223;343;500;30;312,645;312,789;290,392;280,43;279,856;275,212;32,2768;26,3527;5,9241;0;284,079;18
66;1,2;49,184;0;0;223;343;500;30;312,5;312,645;290,392;280,43;279,856;275,212;32,2768;26,3527;5,9241;0;284,079;18
67;1,2;49,3142;0;0;219;343;500;30;312,355;312,645;290,392;280,43;279,856;275,212;32,2768;26,3527;5,9241;0;284,079;18
68;1,2;49,4878;0;0;218;343;500;30;312,211;312,5;293,719;280,3;279,539;273,635;31,8796;25,6271;6,25229;0;283,646;18
69;1,2;49,3866;0;0;218;343;500;30;311,921;312,355;293,719;280,3;279,539;273,635;31,8796;25,6271;6,25229;0;283,646;18
70;1,2;48,9815;0;0;216;343;500;30;311,921;312,211;293,719;280,3;279,539;273,635;31,8796;25,6271;6,25229;0;283,646;18
71;1,2;49,0914;0;0;216;343;500;30;311,777;312,211;293,719;280,3;279,539;273,635;31,8796;25,6271;6,25229;0;283,646;18
72;1,2;49,6325;0;0;218;343;500;30;311,777;312,066;296,943;280,165;279,131;272,75;32,0865;25,516;6,5705;0;283,22;18
73;1,2;49,3866;0;0;216;343;500;30;311,777;311,921;296,943;280,165;279,131;272,75;32,0865;25,516;6,5705;0;283,22;18
74;1,2;49,2853;0;0;216;343;500;30;311,777;311,921;296,943;280,165;279,131;272,75;32,0865;25,516;6,5705;0;283,22;18
75;1,2;49,2853;0;0;217;343;500;30;311,777;311,921;296,943;280,165;279,131;272,75;32,0865;25,516;6,5705;0;283,22;18
76;1,2;49,3837;0;0;218;343;500;30;311,777;312,066;299,942;279,992;278,702;272,122;32,429;25,541;6,88795;0;282,795;18
77;1,2;49,0828;0;0;217;343;500;30;311,921;312,066;299,942;279,992;278,702;272,122;32,429;25,541;6,88795;0;282,795;18
78;1,2;49,184;0;0;218;343;500;30;311,921;312,211;299,942;279,992;278,702;272,122;32,429;25,541;6,88795;0;282,795;18
79;1,2;49,239;0;0;218;343;500;30;311,921;312,066;299,942;279,992;278,702;272,122;32,429;25,541;6,88795;0;282,795;18
80;1,2;48,9786;0;0;218;343;500;30;311,921;312,211;302,736;280,21;278,254;271,318;32,8671;25,6612;7,20589;0;282,37;18
81;1,2;49,184;0;0;218;343;500;30;311,921;312,211;302,736;280,21;278,254;271,318;32,8671;25,6612;7,20589;0;282,37;18
82;1,2;49,0828;0;0;218;343;500;30;311,777;312,066;302,736;280,21;278,254;271,318;32,8671;25,6612;7,20589;0;282,37;18
83;1,2;48,776;0;0;218;343;500;30;311,921;312,066;302,736;280,21;278,254;271,318;32,8671;25,6612;7,20589;0;282,37;18
84;1,2;48,6719;0;0;218;343;500;30;311,777;312,211;305,278;280,872;277,72;268,608;33,8411;26,3102;7,53092;0;281,941;18
85;1,2;48,5735;0;0;223;343;500;30;311,777;312,066;305,278;280,872;277,72;268,608;33,8411;26,3102;7,53092;0;281,941;18
