time;Banddicke;Verzinnungsstation: Durchflussmenge;Verzinnungsstation: Rücklauftemperatur;Verzinnungsstation: Kühlleistung;Verzinnungsstation FU: Durchflussmenge;Verzinnungsstation FU: Rücklauftemperatur;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Laufprogramm Online Zinnbad / Anlagenstartwert Rezept;Laufprogramm Online Zinnbad / Anlagenstartwert korrigiert;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;MON Verzinnungseinheit Verzinnungsstation Ofen 1 aktiv;MON Verzinnungseinheit Verzinnungsstation Ofen 2 aktiv;Legierung;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel;Hubtraverse unten;Bandtransport
0;0.4;51.412;27.2;0;39.5399;27.4;28;294.951;280.035;265;360;270;268;298.611;298.9;70;267.499;0;1;;;3152.24;1;1
1;0.4;51.4207;27.2;0;39.6181;27.4;29;294.777;280.035;265;360;270;268;298.611;298.9;70;267.533;0;1;;;3150.12;1;1
2;0.4;51.2674;27.2;0;39.5139;27.4;29;294.372;280.237;265;360;270;268;298.611;298.9;70;267.572;0;1;;;3150.12;1;1
3;0.4;51.1169;27.2;0;39.3721;27.5;26;294.43;280.237;265;360;270;268;298.611;298.9;70;267.618;0;1;;;3150.12;1;1
4;0.4;50.9115;27.1;0;39.2708;27.5;25;293.88;280.237;265;360;270;268;298.611;298.9;70;267.663;0;1;;;3148.77;1;1
5;0.4;51.0909;27.1;0;39.2708;27.5;23;293.924;280.418;265;360;270;268;298.611;298.9;70;267.707;0;1;;;3148.44;1;1
6;0.4;51.0909;27.1;0;39.3721;27.5;21;293.981;280.418;265;360;270;268;298.611;298.756;70;267.755;0;1;;;3148.44;1;1
7;0.4;50.7205;27.1;0;39.3721;27.5;17;293.128;280.389;265;360;270;268;298.611;298.756;70;267.811;0;1;;;3147.02;1;1
8;0.4;51.0156;27;0;39.2708;27.5;16;293.056;280.425;265;360;270;268;298.611;298.756;70;267.865;0;1;;;3147.02;1;1
9;0.4;51.1169;27;0;39.2708;27.5;0;293.461;280.216;265;360;270;268;298.466;298.756;70;267.919;0;1;;;3147;1;1
10;0.4;50.8073;27;0;39.2708;27.5;0;292.708;280.23;265;360;270;268;298.466;298.756;70;267.974;0;1;;;3147;1;1
11;0.4;51.114;27;0;39.3721;27.5;0;292.795;280.23;265;360;270;268;298.466;298.756;70;268.033;0;1;;;3143.46;1;1
12;0.4;51.3194;27;0;39.5775;27.6;0;292.853;280.411;265;360;270;268;298.611;298.756;70;268.094;0;1;;;3142.75;1;1
13;0.4;51.2182;26.9;0;39.3721;27.6;0;292.173;280.418;265;360;270;268;298.611;298.756;70;268.151;0;1;;;3142.75;1;1
14;0.4;51.6233;26.9;0;39.4734;27.6;0;292.636;280.237;265;360;270;268;298.611;298.756;70;268.213;0;1;;;3142.75;1;1
15;0.4;51.5393;26.9;0;39.3721;27.6;0;292.144;280.563;265;360;270;268;298.611;298.9;70;268.265;0;1;;;3139.21;1;1
16;0.4;51.6262;26.9;0;39.4734;27.6;0;291.797;280.556;265;360;270;268;298.466;298.9;70;268.326;0;1;;;3136.38;1;1
17;0.4;51.5249;26.9;0;39.4763;27.6;0;291.71;280.563;265;360;270;268;298.611;298.756;70;268.391;0;1;;;3136.38;1;1
18;0.4;51.4902;26.8;0;39.4734;27.6;0;291.377;280.541;265;360;270;268;298.466;298.756;70;268.449;0;1;;;3135.67;1;1
19;0.4;51.1169;26.8;0;39.4734;27.6;0;290.929;280.556;265;360;270;268;298.466;298.756;70;268.496;0;1;;;3134.97;1;1
20;0.4;51.1169;26.8;0;39.4734;27.7;0;291.406;280.541;265;360;270;268;298.466;298.756;70;268.541;0;1;;;3134.97;1;1
21;0.4;51.4757;26.8;0;39.592;27.7;0;290.842;280.541;265;360;270;268;298.466;298.756;70;268.583;0;1;;;3134.97;1;1
22;0.4;51.4207;26.8;0;39.7801;27.7;0;290.914;280.541;265;360;270;268;298.466;298.756;70;268.619;0;1;;;3132.14;1;1
23;0.4;51.2703;26.8;0;39.9826;27.7;0;290.567;280.541;265;360;270;268;298.466;298.756;70;268.652;0;1;;;3129.31;1;1
24;0.4;51.8316;26.8;0;39.8814;27.7;0;290.422;280.541;265;360;270;268;298.466;298.611;70;268.68;0;1;;;3129.31;1;1
25;0.4;51.8287;26.7;0;39.9826;27.7;0;289.656;280.541;265;360;270;268;298.322;298.611;70;268.705;0;1;;;3129.31;1;1
26;0.4;51.8316;26.7;0;40.0868;27.7;0;289.656;280.541;265;360;270;268;298.322;298.466;70;268.716;0;1;;;3128.6;1;1
27;0.4;51.2153;26.7;0;40.3906;27.7;0;289.424;280.541;265;360;270;268;298.322;298.466;70;268.725;0;1;;;3127.9;1;1
28;0.4;51.4207;26.7;0;40.1852;27.7;0;289.453;280.541;265;360;270;268;298.466;298.466;70;268.734;0;1;;;3127.19;1;1
29;0.4;51.4497;26.7;0;40.2691;27.7;0;288.788;280.541;265;360;270;268;298.466;298.466;70;268.741;0;1;;;3125.07;1;1
30;0.4;51.7274;26.7;0;40.2894;27.8;0;288.86;280.541;265;360;270;268;298.322;298.466;70;268.736;0;1;;;3122.24;1;1
31;0.4;51.5249;26.7;0;40.1852;27.8;0;288.556;280.541;265;360;270;268;298.177;298.177;70;268.732;0;1;;;3122.24;1;1
32;0.4;51.8316;26.7;0;39.8814;27.8;0;288.484;280.541;265;360;270;268;297.888;298.177;70;268.729;0;1;;;3121.54;1;1
33;0.4;51.8287;26.7;0;39.8814;27.8;0;288.354;280.541;265;360;270;268;297.888;297.888;70;268.726;0;1;;;3121.54;1;1
34;0.4;51.4236;26.7;0;40.0839;27.8;0;287.543;280.534;265;360;270;268;297.743;297.888;70;268.723;0;1;;;3117.37;1;1
35;0.4;51.3339;26.7;0;40.0839;27.8;0;287.674;280.534;265;360;270;268;297.598;297.743;70;268.721;0;1;;;3117.37;1;1
36;0.4;51.5249;26.6;0;40.0839;27.8;0;287.5;280.534;265;360;270;268;297.309;297.598;70;268.718;0;1;;;3117.37;1;1
37;0.4;51.5249;26.6;0;39.8814;27.8;0;287.5;280.534;265;360;270;268;297.309;297.454;70;268.716;0;1;;;3115.96;1;1
38;0.4;51.8837;26.6;0;39.9826;27.8;0;287.558;280.527;265;360;270;268;297.309;297.309;70;268.715;0;1;;;3114.54;1;1
39;0.4;51.93;26.6;0;40.0839;27.8;0;286.733;280.534;265;360;270;268;297.164;297.309;70;268.713;0;1;;;3114.54;1;1
40;0.4;51.93;26.6;0;39.7801;27.8;0;286.603;280.143;265;360;270;268;297.02;297.164;70;268.712;0;1;;;3111.5;1;1
41;0.4;51.8287;26.6;0;39.6788;27.8;0;286.285;280.143;265;360;270;268;296.875;297.164;70;268.711;0;1;;;3107.62;1;1
42;0.4;51.7274;26.6;0;39.4763;27.8;0;286.285;280.143;265;360;270;268;296.73;297.164;70;268.718;0;1;;;3106.21;1;1
43;0.4;51.3194;26.6;0;39.4329;27.9;0;286.357;280.15;265;360;270;268;296.875;297.02;70;268.727;0;1;"CUSN6       ";;3106.21;1;1
44;0.4;51.1111;26.6;0;39.6644;27.9;0;285.72;280.15;265;360;270;268;296.875;297.02;70;268.735;0;1;;;3106.21;1;1
45;0.4;51.5249;26.6;0;40.0839;27.9;0;285.807;280.143;265;360;270;268;296.875;297.02;70;268.742;0;1;;;3106.21;1;1
46;0.4;51.8287;26.6;0;40.0897;27.9;0;285.677;280.143;265;360;270;268;296.875;297.02;70;268.749;0;1;;;3106.21;1;1
47;0.4;51.7014;26.6;0;40.0839;27.9;0;285.561;280.143;265;360;270;268;296.875;297.164;70;268.754;0;1;;;3101.98;1;1
48;0.4;51.6204;26.6;0;39.9913;27.9;0;285.2;280.15;265;360;270;268;297.02;297.02;70;268.759;0;1;;;3098.99;1;1
49;0.4;51.5249;26.6;0;39.9826;27.9;0;285.272;280.15;265;360;270;268;297.02;297.164;70;268.764;0;1;;;3098.99;1;1
50;0.4;51.8229;26.6;0;39.9855;27.9;0;285.171;280.339;265;360;270;268;297.02;297.164;70;268.768;0;1;;;3098.99;1;1
51;0.4;51.6262;26.6;0;40.2894;27.9;0;284.708;280.15;265;360;270;268;297.02;297.309;70;268.771;0;1;;;3097.58;1;1
52;0.4;51.4207;26.6;0;40.1852;27.9;0;284.766;280.035;265;360;270;268;297.02;297.309;70;268.773;0;1;;;3094.06;1;1
53;0.4;51.7101;26.6;0;39.9797;27.9;0;284.679;280.035;265;360;270;268;297.02;297.309;70;268.768;0;1;;;3093.34;1;1
54;0.4;51.7245;26.6;0;40.3935;27.9;0;284.549;280.035;265;360;270;268;297.02;297.309;70;268.76;0;1;;;3093.34;1;1
55;0.4;51.4091;26.6;0;40.3906;28;0;284.071;280.027;265;360;270;268;297.02;297.309;70;268.754;0;1;;;3092.43;1;1
56;0.4;51.4497;26.6;0;40.3906;28;0;284.086;280.027;265;360;270;268;297.02;297.164;70;268.748;0;1;;;3091.73;1;1
57;0.4;51.5249;26.6;0;40.3906;28;0;284.144;280.027;265;360;270;268;297.02;297.164;70;268.742;0;1;;;3091.73;1;1
58;0.4;51.577;26.6;0;40.3906;28;0;283.666;280.035;265;360;270;268;297.02;297.164;70;268.738;0;1;;;3089.62;1;1
59;0.4;51.4207;26.6;0;40.4919;28;0;283.738;279.659;265;360;270;268;297.02;297.164;70;268.734;0;1;;;3088.21;1;1
60;0.4;51.114;26.7;0;40.3906;28;0;283.536;279.767;265;360;270;268;297.02;297.164;70;268.73;0;1;;;3087.51;1;1
61;0.4;51.1603;26.7;0;40.3906;28;0;283.174;279.644;265;360;270;268;297.02;297.309;70;268.727;0;1;;;3087.51;1;1
62;0.4;51.4236;26.7;0;40.3877;28;0;283.145;279.912;265;360;270;268;297.02;297.309;70;268.724;0;1;"CUSN6       ";;3087.51;1;1
63;0.4;51.4236;26.7;0;40.4803;28;0;282.755;279.897;265;360;270;268;297.164;297.309;70;268.721;0;1;;;3087.51;1;1
64;0.4;51.6262;26.7;0;40.3906;28;0;282.567;279.507;265;360;270;268;297.164;297.309;70;268.719;0;1;;;3086.81;1;1
65;0.4;51.7795;26.7;0;40.3762;28;0;282.653;279.507;265;360;270;268;297.164;297.454;70;268.717;0;1;;;3083.3;1;1
66;0.4;51.8229;26.7;0;40.3877;28;0;282.711;279.507;265;360;270;268;297.164;297.309;70;268.715;0;1;;;3080.49;1;1
67;0.4;51.522;26.7;0;40.3791;28;0;282.668;279.514;265;360;270;268;297.164;297.309;70;268.723;0;1;;;3080.49;1;1
68;0.4;51.522;26.7;0;40.3935;28;0;281.713;279.507;265;360;270;268;297.309;297.454;70;268.731;0;1;;;3080.49;1;1
69;0.4;51.7274;26.7;0;40.0839;28;0;281.626;279.384;265;360;270;268;297.309;297.454;70;268.739;0;1;;;3079.26;1;1
70;0.4;51.522;26.7;0;40.2865;28;0;281.539;279.384;265;360;270;268;297.164;297.454;70;268.746;0;1;;;3076.45;1;1
71;0.4;51.2182;26.7;0;40.3501;28;0;281.453;279.384;265;360;270;268;297.164;297.309;70;268.752;0;1;;;3075.05;1;1
72;0.4;51.5162;26.7;0;40.4803;28.1;0;281.539;279.384;265;360;270;268;297.164;297.309;70;268.757;0;1;;;3075.05;1;1
73;0.4;51.5249;26.7;0;40.4919;28.1;0;281.612;279.391;265;360;270;268;297.309;297.309;70;268.768;0;1;;;3075.05;1;1
74;0.4;51.6753;26.7;0;40.5932;28.1;0;280.888;279.008;265;360;270;268;297.164;297.454;70;268.783;0;1;;;3075.05;1;1
75;0.4;51.8982;26.7;0;40.735;28.1;0;280.903;279.015;265;360;270;268;297.164;297.309;70;268.797;0;1;;;3074.35;1;1
76;0.4;51.6262;26.8;0;40.7957;28.1;0;280.859;279.015;265;360;270;268;297.164;297.309;70;268.812;0;1;;;3071.93;1;1
77;0.4;51.5249;26.8;0;40.8044;28.1;0;280.628;279.008;265;360;270;268;297.164;297.454;70;268.833;0;1;;;3068.42;1;1
78;0.4;51.2413;26.8;0;40.6944;28.1;0;280.411;278.863;265;360;270;268;297.164;297.309;70;268.853;0;1;;;3066.09;1;1
79;0.4;51.6233;26.8;0;40.7697;28.1;0;280.411;278.885;265;360;270;268;297.164;297.454;70;268.871;0;1;;;3066.09;1;1
80;0.4;51.9329;26.8;0;40.9867;28.1;0;280.498;278.885;265;360;270;268;297.164;297.309;70;268.891;0;1;;;3066.09;1;1
81;0.4;52.1354;26.8;0;40.8999;28.1;0;279.832;278.856;265;360;270;268;297.164;297.309;70;268.91;0;1;;;3064.69;1;1
82;0.4;52.0341;26.8;0;40.7957;28.1;0;279.832;278.863;265;360;270;268;297.164;297.454;70;268.922;0;1;;;3064.69;1;1
83;0.4;52.0341;26.8;0;40.6944;28.1;0;279.876;278.87;265;360;270;268;297.309;297.454;70;268.931;0;1;;;3064.69;1;1
84;0.4;51.8287;26.8;0;40.5324;28.1;0;279.919;278.494;265;360;270;268;297.309;297.454;70;268.939;0;1;;;3061.32;1;1
85;0.4;51.8287;26.8;0;40.6944;28.1;0;279.413;278.472;265;360;270;268;297.309;297.454;70;268.946;0;1;;;3059.92;1;1
86;0.4;51.9965;26.8;0;40.7986;28.1;0;279.355;278.487;265;360;270;268;297.164;297.454;70;268.952;0;1;;;3059.92;1;1
87;0.4;52.3264;26.8;0;40.8999;28.1;0;279.34;278.487;265;360;270;268;297.309;297.309;70;268.957;0;1;;;3059.92;1;1
88;0.4;52.0312;26.8;0;40.7986;28.1;0;279.413;278.349;265;360;270;268;297.164;297.454;70;268.962;0;1;;;3056.42;1;1
89;0.4;52.0602;26.9;0.276629;40.4919;28.1;0;279.47;278.356;265;360;270;268;297.164;297.454;70;268.967;0;1;;;3055.72;1;1
90;0.4;52.1354;26.9;0.277029;40.4919;28.1;0;278.906;278.364;265;360;270;268;297.164;297.454;70;268.97;0;1;;;3055.02;1;1
91;0.4;51.9271;26.9;0.312202;40.4919;28.1;0;278.95;278.356;265;360;270;268;297.309;297.309;70;268.97;0;1;"CUSN6       ";;3055.02;1;1
92;0.4;52.0312;26.9;0.349207;40.489;28.1;0;278.95;278.342;265;360;270;268;297.164;297.309;70;268.963;0;1;"CUSN6       ";;3055.02;1;1
93;0.4;52.1354;26.9;0.386332;40.2517;28.1;0;278.877;277.988;265;360;270;268;297.164;297.454;70;268.956;0;1;;;3055.02;1;1
94;0.4;51.9329;26.9;0.402973;39.9797;28.1;0;278.371;277.98;265;360;270;268;297.164;297.454;70;268.953;0;1;;;3053.62;1;1
95;0.4;51.9329;26.9;0.439257;39.9826;28.1;0;278.371;277.98;265;360;270;268;297.164;297.309;70;268.953;0;1;;;3051.89;1;1
96;0.4;51.93;26.9;0.511823;39.9826;28.1;0;278.443;277.98;265;360;270;268;297.164;297.454;70;268.95;0;1;;;3050.49;1;1
97;0.4;51.8316;26.9;0.510853;40.2517;28.1;0;278.573;277.988;265;360;270;268;297.164;297.309;70;268.947;0;1;;;3050.49;1;1
98;0.4;51.7274;26.9;0.545967;40.2894;28.1;0;278.588;277.988;265;360;270;268;297.164;297.309;70;268.945;0;1;;;3049.25;1;1
99;0.4;51.8287;26.9;0.601353;40.2373;28.1;0;277.836;277.771;265;360;270;268;297.164;297.309;70;268.94;0;1;;;3048.56;1;1
100;0.4;51.7245;27;0.969391;40.1852;28.1;0;277.749;277.756;265;360;270;268;297.164;297.309;70;268.936;0;1;;;3048.56;1;1
101;0.4;51.7708;27;0.970258;40.3906;28.1;0;277.691;277.756;265;360;270;268;297.02;297.309;70;268.932;0;1;;;3047.16;1;1
102;0.4;51.5249;27;0.983648;40.2894;28.2;0;277.705;277.742;265;360;270;268;297.02;297.164;70;268.929;0;1;;;3045.06;1;1
103;0.4;51.9502;27;1.06439;40.0868;28.2;0;277.402;277.445;265;360;270;268;297.02;297.164;70;268.926;0;1;;;3040.87;1;1
104;0.4;52.0341;27;1.06611;40.0868;28.2;0;277.474;277.459;265;360;270;268;297.02;297.02;70;268.923;0;1;;;3040.87;1;1
