time;Banddicke;Verzinnungsstation: Durchflussmenge;Verzinnungsstation: Rücklauftemperatur;Verzinnungsstation: Kühlleistung;Verzinnungsstation FU: Durchflussmenge;Verzinnungsstation FU: Rücklauftemperatur;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Laufprogramm Online Zinnbad / Anlagenstartwert Rezept;Laufprogramm Online Zinnbad / Anlagenstartwert korrigiert;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;MON Verzinnungseinheit Verzinnungsstation Ofen 1 aktiv;MON Verzinnungseinheit Verzinnungsstation Ofen 2 aktiv;Legierung;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel;Hubtraverse unten;Bandtransport
0;0.2;50.7089;30.8;8.80651;39.5747;29.5;257;311.198;281.286;278;340;280;278;546.73;545.284;60;276.54;1;0;;;4216;1;1
1;0.2;51.114;30.9;9.18818;39.5747;29.5;238;312.095;281.33;278;340;280;278;546.875;545.428;60;276.533;1;0;;;4214.8;1;1
2;0.2;51.0127;30.9;9.13433;39.4705;29.6;220;313.151;281.33;278;340;280;278;547.02;545.428;60;276.526;1;0;;;4214.8;1;1
3;0.2;51.1169;30.9;9.22441;39.6759;29.6;193;313.383;281.272;278;340;280;278;547.02;545.718;60;276.517;1;0;;;4214.8;1;1
4;0.2;51.114;30.9;9.24174;39.6759;29.6;175;314.048;281.25;278;340;280;278;547.164;545.718;60;276.512;1;0;;;4214.8;1;1
5;0.2;51.3194;31;9.5556;39.4878;29.7;168;314.366;281.409;278;340;280;278;547.309;545.862;60;276.511;1;0;;;4213.61;1;1
6;0.2;50.9115;31;9.47964;39.5775;29.7;156;314.829;281.264;278;340;280;278;547.164;545.862;60;276.505;1;0;;;4213.16;1;1
7;0.2;51.0127;31;9.49849;39.4734;29.7;147;314.8;281.431;278;340;280;278;547.164;545.573;60;276.499;1;0;;;4210.95;1;1
8;0.2;51.114;31;9.53521;39.5747;29.8;136;315.365;281.221;278;340;280;278;547.164;545.573;60;276.495;1;0;;;4209.76;1;1
9;0.2;51.2182;31.1;9.88449;39.8785;29.8;136;315.48;281.207;278;340;280;278;546.875;545.573;60;276.492;1;0;;;4205.52;1;1
10;0.2;51.2182;31.1;9.90238;39.6759;29.8;130;315.495;281.228;278;340;280;278;546.875;545.284;60;276.488;1;0;;;4205.52;1;1
11;0.2;51.114;31.1;9.88224;39.5747;29.8;126;316.073;281.25;278;340;280;278;546.875;545.284;60;276.483;1;0;;;4205.52;1;1
12;0.2;51.0127;31.2;10.1555;39.5978;29.8;115;315.958;281.192;278;340;280;278;546.875;545.428;60;276.478;1;0;;;4204.33;1;1
13;0.2;51.1719;31.2;10.1872;39.3721;29.8;112;315.958;281.199;278;340;280;278;546.875;545.428;60;276.47;1;0;;;4204.33;1;1
14;0.2;51.2182;31.2;10.2143;39.3692;29.9;113;315.914;281.236;278;340;280;278;547.02;545.573;60;276.468;1;0;;;4204.33;1;1
15;0.2;51.3194;31.3;10.565;39.3721;29.9;118;315.856;281.236;278;340;280;278;547.02;545.428;60;276.471;1;0;;;4200.75;1;1
16;0.2;51.2182;31.3;10.5263;39.5747;29.9;118;315.828;281.199;278;340;280;278;546.875;545.428;60;276.475;1;0;;;4200.75;1;1
17;0.2;50.9115;31.3;10.4988;39.5747;29.9;118;315.379;281.192;278;340;280;278;546.875;545.428;60;276.478;1;0;;;4198.64;1;1
18;0.2;51.0417;31.3;10.5078;39.4734;29.9;118;315.495;281.192;278;340;280;278;546.875;545.284;60;276.481;1;0;;;4198.64;1;1
19;0.2;51.1053;31.3;10.5031;39.2593;29.9;127;315.451;281.221;278;340;280;278;546.875;545.284;60;276.486;1;0;;;4196.25;1;1
20;0.2;50.8102;31.4;10.8051;39.1667;29.9;131;314.714;281.192;278;340;280;278;546.875;545.284;60;276.488;1;0;"CUSN8       ";;4196.25;1;1
21;0.2;51.0156;31.4;10.831;39.4734;29.8;130;314.641;281.192;278;340;280;278;547.02;545.284;60;276.498;1;0;;;4196.25;1;1
22;0.2;51.3194;31.4;10.8955;39.6296;29.8;140;314.222;281.156;278;340;280;278;546.875;545.428;60;276.507;1;0;"CUSN8       ";;4196.25;1;1
23;0.2;51.4207;31.4;10.935;39.5747;29.8;144;314.251;281.178;278;340;280;278;546.875;545.284;60;276.517;1;0;;;4196.25;1;1
