Time;[11:7];[31:42];[31:47];[32:1];[32:90];[32:124];[33:142];[33:146];[33:337];[33:338];[33:339];[33:340];[33:341];[33:342];[33:343];[33:344];[33:345]
time;Banddicke;Verzinnungsstation_ Kühlleistung;Verzinnungsstation FU_ Kühlleistung;Bandbreite;Düsendruck;Bandgeschwindigkeit;Düsendruck Bandoberseite;Düsendruck Bandunterseite;Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Temperatur unter der Zinnbadrolle 2 (WSP);Reglerausgang Y-Out (WSP);P-Anteil von Y-Out (WSP);I-Anteil von Y-Out (WSP);D-Anteil von Y-Out (WSP);Wirksame Soll-Temperatur (WSP)
sec;mm;kW;kW;mm;mbar;m/min;mbar;mbar;°C;°C;°C;°C;%;%;%;%;°C
0;0,35;4,64766;2,46484;355;750;0;0,434028;0,578704;282,349;275,02;274,498;274,44;6,01816;4,06704;-0,0633595;57,0894;275,763
1;0,35;4,6521;2,46018;355;750;0;0,434028;0,578704;282,14;274,922;274,502;274,443;20;79,4884;0;107,681;290,92
2;0,35;4,73967;2,52928;355;750;0;0,434028;0,578704;282,14;274,922;274,502;274,443;20;79,4884;0;107,681;290,92
3;0,35;4,70295;2,51105;355;750;0;0,578704;0,578704;282,14;274,922;274,502;274,443;20;79,4884;0;107,681;290,92
4;0,35;4,69985;2,5095;355;750;0;0,434028;0,578704;282,14;274,922;274,502;274,443;20;79,4884;0;107,681;290,92
5;0,35;4,72064;2,50516;355;750;0;0,434028;0,578704;282,457;274,888;274,51;274,48;20;74,1632;0;5,48101;289,82
6;0,35;4,72182;2,5046;355;750;0;0,434028;0,578704;282,457;274,888;274,51;274,48;20;74,1632;0;5,48101;289,82
7;0,35;4,665;2,46849;355;750;0;0,434028;0,578704;282,457;274,888;274,51;274,48;20;74,1632;0;5,48101;289,82
8;0,35;4,68831;2,47193;355;750;0;0,434028;0,72338;282,457;274,888;274,51;274,48;20;74,1632;0;5,48101;289,82
9;0,35;4,6407;2,44632;355;750;0;0,578704;0,578704;283,97;274,9;274,575;274,487;20;68,5797;0;-8,9401;288,716
10;0,35;4,71758;2,50116;355;750;0;0,434028;0,578704;283,97;274,9;274,575;274,487;20;68,5797;0;-8,9401;288,716
11;0,35;4,69456;2,49615;355;750;0;0,434028;0,578704;283,97;274,9;274,575;274,487;20;68,5797;0;-8,9401;288,716
12;0,35;4,62043;2,46004;355;750;0;0,434028;0,72338;283,97;274,9;274,575;274,487;20;68,5797;0;-8,9401;288,716
13;0,35;4,66117;2,45044;355;750;0;0,578704;0,578704;285,833;274,885;274,585;274,5;20;64,1864;0;-6,37756;287,825
14;0,35;4,68674;2,48038;355;750;0;0,434028;0,578704;285,833;274,885;274,585;274,5;20;64,1864;0;-6,37756;287,825
15;0,35;4,69897;2,50263;355;750;0;0,434028;0,578704;285,833;274,885;274,585;274,5;20;64,1864;0;-6,37756;287,825
16;0,35;4,67878;2,48798;355;750;0;0,434028;0,578704;285,833;274,885;274,585;274,5;20;64,1864;0;-6,37756;287,825
17;0,35;4,67083;2,46498;355;750;0;0,578704;0,578704;287,616;274,91;274,606;274,545;20;102,02;0;58,9181;295,414
18;0,35;4,72363;2,83498;355;750;0;0,434028;0,578704;287,616;274,91;274,606;274,545;20;102,02;0;58,9181;295,414
19;0,35;4,66581;2,80506;355;750;0;0,434028;0,72338;287,616;274,91;274,606;274,545;20;102,02;0;58,9181;295,414
20;0,35;4,57852;2,75788;355;750;0;0,434028;0,72338;287,616;274,91;274,606;274,545;20;102,02;0;58,9181;295,414
21;0,35;4,70295;2,8304;355;750;0;0,434028;0,578704;289,384;275;274,643;274,557;20;94,4882;0;-5,17573;293,998
22;0,35;4,6582;2,83439;355;750;0;0,434028;0,72338;289,384;275;274,643;274,557;20;94,4882;0;-5,17573;293,998
23;0,35;4,65885;2,82158;355;750;0;0,434028;0,578704;289,384;275;274,643;274,557;20;94,4882;0;-5,17573;293,998
24;0,35;4,63674;2,7822;355;750;0;0,578704;0,72338;289,384;275;274,643;274,557;20;94,4882;0;-5,17573;293,998
25;0,35;4,6582;2,80757;355;750;0;0,578704;0,72338;291,095;275,108;274,69;274,6;20;86,9471;0;-13,9754;292,592
26;0,35;4,98098;3,09026;355;750;0;0,434028;0,72338;291,095;275,108;274,69;274,6;20;86,9471;0;-13,9754;292,592
27;0,35;5,03644;3,11832;355;750;0;0,434028;0,578704;291,095;275,108;274,69;274,6;20;86,9471;0;-13,9754;292,592
28;0,35;5,09792;3,1341;355;750;0;0,434028;0,578704;291,095;275,108;274,69;274,6;20;86,9471;0;-13,9754;292,592
29;0,35;5,10558;3,1341;355;750;0;0,434028;0,72338;292,58;275,34;274,702;274,613;20;78,8207;0;-16,1509;291,194
30;0,35;5,06948;3,08595;355;750;0;0,578704;0,72338;292,58;275,34;274,702;274,613;20;78,8207;0;-16,1509;291,194
31;0,35;5,05682;3,10092;355;750;0;0,578704;0,72338;292,58;275,34;274,702;274,613;20;78,8207;0;-16,1509;291,194
32;0,35;5,11859;3,14676;355;750;0;0,434028;0,72338;292,58;275,34;274,702;274,613;20;78,8207;0;-16,1509;291,194
33;0,35;5,53751;3,11561;355;750;0;0,434028;0,72338;293,928;275,628;274,745;274,7;20;70,2288;0;-16,8794;289,771
34;0,35;5,53771;3,1285;355;750;0;0,434028;0,72338;293,928;275,628;274,745;274,7;20;70,2288;0;-16,8794;289,771
35;0,35;5,4859;3,07388;355;750;0;0,434028;0,72338;293,928;275,628;274,745;274,7;20;70,2288;0;-16,8794;289,771
36;0,35;5,48544;3,07388;355;750;0;0,434028;0,72338;293,928;275,628;274,745;274,7;20;70,2288;0;-16,8794;289,771
37;0,35;5,4978;3,45095;355;750;0;0,578704;0,578704;295,102;275,79;274,798;274,7;20;62,2603;0;-15,6705;288,342
38;0,35;5,47951;3,43967;355;750;0;0,434028;0,578704;295,102;275,79;274,798;274,7;20;62,2603;0;-15,6705;288,342
39;0,35;5,46375;3,43298;355;750;0;0,434028;0,72338;295,102;275,79;274,798;274,7;20;62,2603;0;-15,6705;288,342
40;0,35;5,89527;3,41463;355;750;0;0,434028;0,72338;295,102;275,79;274,798;274,7;20;62,2603;0;-15,6705;288,342
41;0,35;5,92404;3,41482;355;750;0;0,434028;0,578704;296,153;275,875;274,8;274,748;4,5;-106,818;0;-340,849;254,456
42;0,35;5,93355;3,45325;355;750;0;0,434028;0,578704;296,153;275,875;274,8;274,748;4,5;-106,818;0;-340,849;254,456
43;0,35;5,89973;3,43394;355;750;0;0,434028;0,72338;296,153;275,875;274,8;274,748;4,5;-106,818;0;-340,849;254,456
44;0,35;5,86982;3,38985;355;750;0;0,434028;0,578704;296,153;275,875;274,8;274,748;4,5;-106,818;0;-340,849;254,456
45;0,35;5,92115;3,41368;355;750;0;0,578704;0,72338;296,813;275,8;274,846;274,79;0;-145,01;0;-61,2159;246,698
46;0,35;5,91011;3,39247;355;750;0;0,578704;0,72338;296,813;275,8;274,846;274,79;0;-145,01;0;-61,2159;246,698
47;0,35;6,38899;3,45114;355;750;0;0,434028;0,578704;296,813;275,8;274,846;274,79;0;-145,01;0;-61,2159;246,698
48;0,35;6,39265;3,4261;355;750;0;0,434028;0,72338;296,813;275,8;274,846;274,79;0;-145,01;0;-61,2159;246,698
49;0,35;6,41151;3,39916;355;750;0;0,434028;0,72338;296,229;275,8;274,899;274,8;0;-134,814;0;9,38077;248,737
50;0,35;6,3498;3,38365;355;750;0;0,434028;0,72338;296,229;275,8;274,899;274,8;0;-134,814;0;9,38077;248,737
51;0,35;6,3498;3,41482;355;750;0;0,578704;0,578704;296,229;275,8;274,899;274,8;0;-134,814;0;9,38077;248,737
52;0,35;6,37362;3,42147;355;750;0;0,434028;0,72338;296,229;275,8;274,899;274,8;0;-134,814;0;9,38077;248,737
53;0,35;6,40537;3,42813;355;750;0;0,434028;0,72338;294,97;275,865;274,9;274,858;0;-124,873;0;18,3738;250,788
54;0,35;6,3588;3,37831;355;750;0;0,434028;0,578704;294,97;275,865;274,9;274,858;0;-124,873;0;18,3738;250,788
55;0,35;6,4394;3,43948;355;750;0;0,434028;0,72338;294,97;275,865;274,9;274,858;0;-124,873;0;18,3738;250,788
56;0,35;6,79767;3,36534;355;750;0;0,434028;0,72338;294,97;275,865;274,9;274,858;0;-124,873;0;18,3738;250,788
57;0,35;6,77469;3,38324;355;750;0;0,434028;0,578704;293,709;275,975;274,9;274,9;0;-115,124;0;19,4198;252,848
58;0,35;6,83691;3,39467;355;750;0;0,434028;0,72338;293,709;275,975;274,9;274,9;0;-115,124;0;19,4198;252,848
59;0,35;6,79313;3,34051;355;750;0;0,434028;0,578704;293,709;275,975;274,9;274,9;0;-115,124;0;19,4198;252,848
60;0,35;6,85231;3,37662;355;750;0;0,434028;0,578704;293,709;275,975;274,9;274,9;0;-115,124;0;19,4198;252,848
61;0,35;6,78811;3,02508;355;750;0;0,434028;0,72338;292,521;276,03;274,953;274,9;0;-105,035;0;19,92;254,923
62;0,35;6,77799;3,04965;355;750;0;0,434028;0,578704;292,521;276,03;274,953;274,9;0;-105,035;0;19,92;254,923
63;0,35;6,76618;3,05083;355;750;0;0,434028;0,72338;292,521;276,03;274,953;274,9;0;-105,035;0;19,92;254,923
64;0,35;6,74537;3,05032;355;750;0;0,434028;0,578704;292,521;276,03;274,953;274,9;0;-105,035;0;19,92;254,923
65;0,35;6,28645;3,02522;355;750;0;0,434028;0,72338;291,438;276,1;274,999;274,957;0;-94,9892;0;20,1182;257,002
66;0,35;6,29508;3,01949;355;750;0;0,578704;0,578704;291,438;276,1;274,999;274,957;0;-94,9892;0;20,1182;257,002
67;0,35;6,33451;3,07381;355;750;0;0,434028;0,578704;291,438;276,1;274,999;274,957;0;-94,9892;0;20,1182;257,002
68;0,35;6,29761;2,71101;355;750;0;0,434028;0,578704;291,438;276,1;274,999;274,957;0;-94,9892;0;20,1182;257,002
69;0,35;6,35349;2,7057;355;750;0;0,434028;0,72338;290,435;276,19;275;275;0;-85,0564;0;19,7258;259,079
70;0,35;6,25304;2,64644;355;750;0;0,434028;0,578704;290,435;276,19;275;275;0;-85,0564;0;19,7258;259,079
71;0,35;6,29184;2,67154;355;750;0;0,434028;0,578704;290,435;276,19;275;275;0;-85,0564;0;19,7258;259,079
